stage,axial,blastomeres,epidermis,eye,gut,immune,neural,olfactory,otic,paraxial.mesoderm,periderm,pgc,presomitic.mesoderm,vasculature
  3-4,20.8,688.27,0,0,0,0,0,0,0,0,42.62,0,0,0
  5-6,40.23,298.02,0,0,0,0,0,0,0,9.41,17.45,0,0,0
  7-9,0,0,0,0,0,0,34.2,0,0,19.42,0,7.87,0,0
 10-12,0,0,0,5.39,0,0,21.31,0,0,5.71,0,0,0,0
 14-21,0,0,0,0,0,0,1.24,0,0.86,0,0,0,0.92,0
 24-34,0,0,0,0,0,0,3.15,0,0,0,4.05,0,0,0
 36-46,0,0,0,0,0,0,3.15,0,0,0,4.07,0,0,0
 48-58,0,0,0,0,0,0,2.18,0.65,0,0,0,0,0,0
 60-70,0,0,0,0,0,0,6.46,0,0,0,0,0,0,0.85
 84-94,0,0,0.66,0,0,1.57,1.3,0,0,0,0,0,0,0
 96-106,0,0,0,0,1.35,0.73,2.38,0,0,0,0,0,0,0
120,0,0,0,7.11,0,0,0,0,0,0,0,0,0,0
