stage,axial,blastomeres,endoderm,epidermis,eye,glial,gut,hatching.gland,heart,liver,mesenchyme,mucous,mural.cell,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,periderm,somites,spinal.cord,taste,vascular.smooth.muscle,vasculature,visceral.smooth.muscle,xanthophores
  3-4,0,76.71,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,8.19,103.75,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,6.59,20.88,0,11.55,0,0,0,0,0,0,0,0,0,102.14,0,0,0,35.68,0,0,0,0,0,0,0,0
 10-12,0,0,21.49,0,9.26,0,0,0,0,0,0,0,0,0,112.52,0,0,0,105.04,0,0,0,0,0,0,0,0
 14-21,0,0,0,0,1.04,0,0,2.24,0,0,6.11,0,0,0.93,15.32,0,0,0,0.91,0,3.66,2.23,0,0,0,0,0
 24-34,0,0,0,0,4.76,0,0,0,0,0,4.03,0,0,8.53,60.68,0.73,0,0,0,1.6,0,11.75,0,0,0,0,0
 36-46,0,0,0,2.14,8.78,0.79,0,0,0.84,0,10.81,0,0,0,54.5,0.59,1.89,0,0,0,0,8.96,0,0,0,0,0
 48-58,0,0,0,1.73,35.2,6.8,0,0,0,0,5.25,0,0,0.44,63.02,0,0,0,0,0,0,11.26,0,0,3.09,0,0
 60-70,0,0,0,0,71.39,14.67,0,2,0,1.78,10.04,0,0.68,0.68,63.97,0,0,0,0,1.85,0,11.73,0,4.5,0,0,0
 72-82,0,0,0,2.02,41.38,3.58,0,0,2.58,0,13.3,0,0,0.62,61.41,0,0,3.18,0,0,0,2.98,0.62,0.85,0,0,0
 84-94,0,0,0,0,35.23,0,0.64,0,0,0,14.88,0,1.44,0,44.76,0.99,0,0,0,0.65,0,0,1.87,0,0.82,0,0
 96-106,0,0,0,0,9.88,5.48,0.71,0,0,0,7.41,1.15,0,0,9.21,0,0,0.84,0,7.13,0,0,0,0,0,0,1.4
108-118,0,0,0,3.64,21.34,4.46,0,0,0,0,3.42,0,0,1.67,35.61,0,0.72,0,0,0,0,0,0,0.88,0,0,1.09
120,0,0,0,2.55,7.07,10.43,0,0,0,0,25.78,0,2.47,0,100.69,0,0,14.25,0,4.81,0,0,0,1.32,0,5.9,0
