stage,axial,blastomeres,epidermis,erythrocytes,eye,fin_mesenchyme,glial,hatching_gland,immune,ionocyte,mesenchyme,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,periderm,pronephros,somites,spinal_cord,vasculature,xanthophores
  3-4,10.19,63.22,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,0,25.87,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,0,0,3.45,0,0,0,0,7.89,0,0,0,0,0,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,0,0,0,36.09,0,0,0,6.6,0,0,0,0,0,0
 14-21,0,0,0,0,0,0,0,0,0,0,0,0,2.28,2,0,0,0,0,0,0,0,0,0
 24-34,0,0,0,0,0,0,0,0,0,0,0,0,8.9,0,0,0,0,0.7,0,0.59,0.93,0,0
 36-46,0,0,0,0,1.46,0,0,0,0,0,0,0.61,17.24,0,0,0,0,0,0,0,0.74,0,0
 48-58,0,0,0,0,2.9,0.44,0,0,0,0,0,0,3.64,0,0,0,0,0,0,0,0,0,6.25
 60-70,0,0,0,0,3.86,0,4.32,0,0,0,0,0,4.83,0,0,0,0,0.72,0,0,0,0,0
 72-82,0,0,1.51,0,4.27,0,1.03,0,0,0.54,2.63,0,7.38,0,6.1,0,0,0,0.75,0,3.19,0,0
 84-94,0,0,0,0,1.65,0,0,0,0,0,0,0,6.22,0,0,1.2,0,0,0,0,0,0,0
 96-106,0,0,0,0,0,0,1.03,0,0.57,0,0,0,4.74,0,0,0,0,0,0,0,0,0,0
108-118,0,0,0,0,0,0,0,0,0,0,1.65,0,4.89,0,0,0,0,0,0,0,0,3.31,0
120,0,0,0,2.76,0,0,5.49,0,0,0,0,0,1.01,0,0,0,0,0,0,0,0,0,0
