stage,axial,blastomeres,endoderm,epidermis,erythrocytes,eye,fin.mesenchyme,glial,gut,hatching.gland,heart,immune,iridophores,lateral.line,liver,melanocytes,mesenchyme,mucous,mural.cell,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,pericytes,periderm,pgc,presomitic.mesoderm,pronephros,slow.muscle,somites,spinal.cord,vascular.smooth.muscle,vasculature,visceral.smooth.muscle,xanthophores
  3-4,38.16,716.53,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,104.61,909.27,0,0,0,0,0,0,0,18.67,0,0,0,0,0,0,0,0,0,0,25.37,0,0,0,16.56,0,21.23,0,0,0,0,0,0,0,0,0,0
  7-9,20.4,49.03,35.93,0,0,114.31,0,0,0,17.69,0,0,0,0,0,0,0,0,0,0,796.54,30.26,0,0,216.69,0,0,3.79,0,0,0,0,0,0,0,0,0
 10-12,0,30.25,44.38,0,0,78.08,0,0,0,3.85,0,0,0,0,0,0,0,0,0,0,635.38,20.91,0,0,167.92,0,0,0,0,45.1,0,0,0,0,0,0,0
 14-21,0,0,0,6.93,0.87,2.43,0,2.05,0,0,0,0,0,0,0,0,1.94,0,0,3.94,59.31,0,1.03,0,1.03,0,0,0,4.59,0,1.82,3.77,15.75,0,1.2,0,0
 24-34,0,0,2.04,1.76,0,12.25,0,3.55,0,0,0,0,0,0,0,0,13.55,0,0,2.99,96.37,0,0.75,0,0,0,1.94,0,0,1.49,0,0,17.68,0,1.85,0,0
 36-46,0,0,0,3.64,0,15.08,0,4.02,0,0,0.92,0,0,0,0,0,8.5,0,0,0.55,59.34,1.87,0.59,0,0,0,2.55,0,0,0,0,0,7.57,0,0,0,0
 48-58,0,0,0,0.6,0,22,0.38,7.39,0,0,0,0,0,0,0,0,11.59,0,0,2.17,53.66,0,0.56,0,0,0,1.09,0,0,0,0,0,10.33,0,4.09,0,2.39
 60-70,0,0,0,4.74,0,19.65,1.98,12.04,0,0,1.7,1.44,4.2,0,1.2,0,20.59,0,0,0.65,64.67,0,0,0,0,0,2.88,0,0,0,0,0,6.24,0.84,2.23,0,0
 72-82,0,0,0,3.03,5,23.78,0,5.52,0.74,0,0,0,0,0,0,6.45,14.59,4.54,2.65,0,31.58,0,0,0,0,0,1.63,0,0,0,0,0,6.85,0,0,0,0
 84-94,0,0,0,1.07,1.05,5.96,2.89,5.63,0.57,0,0,0,0,0.66,0,0,12.74,0,0,4.32,19.67,0,0,0,0,0,1.49,0,0,0,0,0,7.81,0,0,0.64,0
 96-106,0,0,0,1.04,0.82,7.87,0,3.66,0,0,0,1.04,0.85,0,0,0,3.92,1.66,3.4,1.32,17.63,0,0,0.62,0,1.44,2.18,0,0,0,0,0,8.59,1.03,0,0,1.22
108-118,0,0,0,2.35,1.72,6.3,1.02,5.31,0,0,0,0,0,0.41,0,0,5.03,0,0,4.78,29.42,0,0,2.92,0,2.26,0.55,0,0,0.54,0,0,0,0,1.39,0,0
120,0,0,0,4.04,0,15.75,0,18.94,0,0,0,0,3.65,0,0,0,6.42,0,0,2.44,70.71,0,0,1.43,0,0,0,0,0,0,0,0,1.98,0,2.15,0,0
