stage,axial,blastomeres,epidermis,erythrocytes,eye,fast_muscle,fin_epithelia,glial,heart,immune,mesenchyme,mural_cell,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,periderm,presomitic_mesoderm,pronephros,slow_muscle,somites,spinal_cord,taste,vasculature,visceral_smooth_muscle,xanthophores
  5-6,12.49,14.75,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,20.54,0,0,0,0,0,0,0,0,123.78,0,0,0,20.84,0,0,0,0,0,0,0,0,0,0
 10-12,0,3.64,0,0,3.93,0,0,0,0,0,0,0,0,84.36,7.76,0,0,16.07,0,0,0,0,0,0,0,0,0,0
 14-21,0,0,0,1.78,0,0,0,0,0,0,2.22,0,0,20.33,0,0,0,0,2.16,2.09,0,1.83,2.27,6.41,0,0,0,0
 24-34,0,0,0,0,3.86,0,0.64,2.15,0,0,0,0,0,27.55,0,0,0,0,2.86,0,0.83,0,0,7.65,0,0,0,0
 36-46,0,0,0,0,10.72,0,0,0.67,0,0,2,0,0.75,50.23,0,0,0,0,1.64,0,0,0,0,8.94,0,0,0,0
 48-58,0,0,0,0,12.5,0,0,1.73,0,0,3.81,0,0.8,32.98,0,0,0,0,0,0,0,0,0,6.53,0,0,0,0.38
 60-70,0,0,0,0,14.86,0,1.09,7.27,0,0,2.24,0,0,16.14,0,0,0,0,0,0,0,0,0,2.52,0,2.67,0,0
 72-82,0,0,0.85,0,21.24,1.29,7.85,4.66,0.51,0,1.98,0.87,0,12.56,0,0,0,0,0,0,0,0,0,0,0,0,0,0
 84-94,0,0,0,0,25.61,0,0,0,0,1.59,1.64,0,0,1.83,0,0,0,0,0,0,0,0,0,0,0,0,0,0
 96-106,0,0,2.52,5.8,0,0,0,0,0,0,3.11,0,0,0,0,0,0,0,0,0,0,0,0,0,0.88,0.71,1.14,0
108-118,0,0,3.89,0,0.62,0,0,0.41,0,0,0.61,0,1.27,3.71,0,0.46,0,0,0,0,0,0,0,0,0,0,0,0
120,0,0,3.18,4.26,19.59,0,0,1.8,0,0,9.56,0,0,12.16,0,0,1.34,0,0,0,0,0,0,0,0,0,0,0
