stage,epidermis,erythrocytes,eye,fin_mesenchyme,glial,gut,lateral_line,melanocytes,mesenchyme,mucous,muscle,neural,olfactory,periderm,pronephros,somites,spinal_cord,taste,vascular_smooth_muscle,vasculature
 14-21,0,0,0,0,0,0,0,0,0,0,1.14,1.84,0,1.04,0,0,0,0,0,0
 24-34,0,1.32,0,0,0,0,0,0,0,0,0,11.92,0,0,0,1.48,1.11,0,0,0
 36-46,0,0,0,0,0,0,0,0.86,0,0,0,1.4,0,1.03,0,0,0,0,0,0.65
 48-58,0,0,0,0,0,0,0,0,0,0,0,1.55,0,0,0,0,2.25,0,0,0
 60-70,0.74,0,0,0,0,0,0,0,0,0,0.68,1.39,0,0,0,0,0,0,0,0
 72-82,2.36,0,2.23,0,1.41,0,0,0,0,0,0,0,0.54,0,0,0,0,3.11,0,0
 84-94,7.26,0,0,0,0.93,0,0.6,0,0,2.24,0,3.46,0,3.36,0,0,0,25.41,0,0
 96-106,8.65,0,18.03,0.86,0,0,0,0,4.04,0,0,9.23,0.63,0,0.57,0,0,10.97,0,1.85
108-118,15.79,0,12.93,0,0,4.64,0.49,0,0,0.8,0,1.19,0,0,0,0,0,29.8,0,0
120,5.17,0,3.51,0,2.25,2.85,0,0,0,0,0,0,0,5.84,0,0,0,3.3,1.95,0
