stage,blastomeres,endocrine.pancreas,endoderm,epidermis,eye,glial,hatching.gland,immune,iridophores,mesenchyme,mucous,muscle,neural,notochord,olfactory,periderm,somites,spinal.cord,taste,vasculature
  5-6,10.07,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,4.89,0,0,0,6.28,0,0,0,0,0,18.1,0,0,0,0,0,0,0
 10-12,0,0,8.21,0,0,0,0,0,0,0,0,0,18.14,0,0,0,0,0,0,0
 14-21,0,0,0,0,0,0,0,0,0,0,0,0,1.12,1.96,0,0,2.34,0,0,0
 24-34,0,0,0,0,0,0,0,0,0,0,0,0,2.56,0,0,2.11,0,0,0,0
 36-46,0,0,0,0,0,0,0,0,12.95,0,0,0,2.49,0,0,0,0,0,0,0
 48-58,0,0,0,0,0,0,0,0,0,0,0,0,4.69,0,0,0,0,1.02,0,0
 60-70,0,0,0,0,3.31,0,2.2,0,0,0,0,1,9.35,0,0,0,0,0,0,0
 72-82,0,0,0,0,5.77,1.33,0,0,0,0,0,0,4.39,0,0,1.09,0,0,0,6.72
 84-94,0,1.53,0,0,0,0,0,0,0,0,0.75,0,6.85,0,0,2.34,0,0,0,0.81
 96-106,0,0,0,0,12.34,0,0,0.81,0,0,0,0,1.49,0,0,2.47,0,2.13,0,0
108-118,0,0,0,2.36,6.26,0,0,0.44,0,1.49,0,0,0,0,0,2.73,0,0,0.71,0
120,0,0,0,3.34,7.42,0,0,2.01,0,0,0,0,16.18,0,2.88,18.78,0,0,0,0
