stage,epidermis,eye,glial,gut,liver,mesenchyme,mural.cell,muscle,neural,otic,pericytes,periderm,pronephros,somites,spinal.cord,vasculature
 14-21,0,0,0,0,0,0.86,0,1.05,1.89,0,0,0,0,0.86,5.84,0
 24-34,0,0,0.73,0,0,0.89,0,2.66,11.75,0,0,0,0,0,0.74,1.09
 36-46,0,0,0,0,0,0.62,0,1.08,1.56,0.71,0,0,0.59,0,0,0
 48-58,0,0,0,0,0,3.01,0,2.13,1.32,0,0,0,0,0,1.69,0
 60-70,0,2,0,0,1.35,8.72,0,0,6.78,0,0,0,0,0,0,0
 72-82,0,0.88,0,0,0,3.14,0,0,0.64,0,0,0,0,0,1.27,0
 84-94,0,1.22,0,0,0,5.08,0,0,0,0,0,0,0,0,0,0
 96-106,0,0,0,0,0,2.32,0.58,0,0,0,0,5.64,0,0,0,0
108-118,0,0,0,0,2.17,2.65,0,0,7.63,0,0.89,0,0,0,0,0
120,1.8,0,0,1.26,1.23,0,0,0,0,0,0,1.06,0,0,0,0
