stage,endocrine_pancreas,epidermis,erythrocytes,eye,glial,heart,ionocyte,lateral_line,mesenchyme,mural_cell,muscle,neural,notochord,otic,periderm,presomitic_mesoderm,slow_muscle,spinal_cord,vasculature
 14-21,0,3.03,1.21,0,0,0,0,0,0,0,0,4.29,3.79,0,0,2.78,1.78,1.85,0
 24-34,0,1.43,0,0.71,0,0,1.24,0,0.62,0,0,5.06,0,0,0,0,0,1.86,1.55
 36-46,0,0,0,0,0,0,0,0.99,1.05,0,0,9.29,0,0.57,0,0,0,2.56,0
 48-58,0,0,0,6.9,0,0,0,0,0,0,0,4.24,0,3.29,0,0,0,2.18,0
 60-70,0,0,0,1.92,0,0,0,0,0.95,0.79,1.1,13.4,0,0,0,0,0,0,0.58
 72-82,0.98,0,0,16.25,0,0.6,0,0,0,0,0,26.54,0,2.21,0,0,0,0.53,0
 84-94,0,0,0,8.56,2.33,0,0,0,2.98,0,0,8.18,0,0.59,0,0,0,2.65,0
 96-106,0,0,0,0.67,0,0,0,1.93,0,0,0.76,2.26,0,2.56,1.86,0,0,0.67,0
108-118,0,0,0,1.25,0,0,0,0,0,0,0,4.93,0,1.03,0,0,0,0,0
120,0,0,0,0,0,0,0,0,4.34,0,0,6.04,0,1.29,0,0,0,0,0
