stage,axial,blastomeres,endocrine_pancreas,endoderm,epidermis,erythrocytes,exocrine_pancreas,eye,fast_muscle,fin_epithelia,fin_mesenchyme,glial,gut,hatching_gland,heart,immune,ionocyte,iridophores,lateral_line,liver,melanocytes,mesenchyme,mucous,mural_cell,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,periderm,presomitic_mesoderm,pronephros,slow_muscle,somites,spinal_cord,taste,vascular_smooth_muscle,vasculature,visceral_smooth_muscle,xanthophores
  3-4,150.29,2378.47,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,111.73,0,0,0,0,0,0,0,0,0,0
  5-6,234,2104.24,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,115.91,25.98,0,0,18.58,25.88,0,0,0,0,0,0,0,0,0,0
  7-9,70.24,48.3,0,34.01,0,0,0,83.39,0,0,0,0,0,58.83,0,0,0,0,0,0,0,0,0,0,0,785.13,27.55,0,0,278.53,0,0,0,0,0,0,0,0,0,0,0
 10-12,0,16.73,0,44.81,0,0,0,41.69,0,0,0,0,0,33.63,0,0,0,0,0,0,0,0,0,0,0,400.73,0,0,0,89.36,3.3,0,38.61,0,5.3,0,0,0,0,0,0
 14-21,0,0,0,3.59,9.06,4.74,0,15.46,0,0,0,0,0,0.86,0,0,0,0,0,0,0,1.7,0,0,6.3,47.96,6.3,0,0,0,4.17,14.32,0.81,0,28.21,12.85,0,0,0,0,0
 24-34,0,0,0.8,0,0.69,0,0,8.07,0,0,0,0,0,0,0,6.32,1.32,0,0,0,0,4.46,0,0,1.57,68.07,1.97,9.43,1.16,0,2.34,0,0,0,5.87,18.78,0,0,1.01,0,0
 36-46,0,0,0,0,1.04,0,0,8.09,0,0,0.96,1.52,0,0,0,0,0,0,0,0,0.67,1.12,0,0,2.01,79.98,3.79,5.95,1.83,0,0.67,0,0,0,0,7.88,0,0,0,0,2.51
 48-58,0,0,0,0.45,0,0,0,15.38,0.83,0.55,0,5.08,0,4.42,0,0,0,0,0,0,0,3.07,0.42,0.72,1.73,94.16,0,4.31,0,0,0.72,0,0,0,0,6.59,0,0,0.47,0,5.4
 60-70,0,0,0,0,1.56,0,0,28.73,0,0,0,5.87,0,0,0,0,0,0,0,1.34,0,14.05,0,0,1.2,155.47,0,1.83,0.62,0,0,0,0,0,0,32.15,0,0.63,0,0,0
 72-82,0,0,0,0,5.24,0,0,66.49,0,0,2.12,9.09,0.64,0,0,0,0,0,0.51,0.62,0,15.28,2.92,0,0.55,173.58,0,3.89,8.29,0,0.84,0,0,0,0,23,1.76,0,4.09,0,3.65
 84-94,0,0,0,0,3.45,0,1.39,51.58,0,0,0,7.48,1.45,0,0,5,3.2,0,0.64,0,0,22.97,1.21,0,0,134.7,0,5.97,2.12,0,12.78,0,0,0,0,3.8,1.88,0,6.1,0,5.14
 96-106,0,0,0,0,1.49,0,0.8,32.26,0.57,0,3.22,8.59,1.47,0,0,2.29,0.56,3.48,0,0,0,10.36,0,2.17,0,125.59,0.64,1.68,4.06,0,10.81,0,0.67,0.7,0,2.67,0.61,0,0,1.12,0
108-118,0,0,0,0,16.85,0,2.12,77.96,1.15,0,0.9,11.32,1.08,0,3.33,1.29,0,0,1.09,0,0,29.78,6.13,0,3.03,131.74,0,8.8,10.27,0,1.88,0,0,0.67,0,5.76,0,0,1.46,1.09,0.82
120,0,0,0,0,12.02,0,1.6,102.45,1.04,0,0,12.06,1.85,0,0,2.16,0,6.25,0,0,0,24.17,0,0,3.07,257.21,0,20.14,7.79,0,2.6,0,0,0,0,9.43,3.43,0,0,0,0
