stage,endoderm,epidermis,erythrocytes,eye,fast_muscle,fin_epithelia,glial,gut,heart,immune,ionocyte,iridophores,melanocytes,mesenchyme,mural_cell,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,pericytes,periderm,presomitic_mesoderm,slow_muscle,somites,spinal_cord,vascular_smooth_muscle,vasculature
  7-9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8.79,0,0,0,5.79,0,0,0,0,0,0,0,0
 10-12,14.34,0,6.59,0,0,0,0,0,0,0,0,0,0,0,0,0,43.12,0,0,0,57.51,0,0,0,0,0,0,0,0
 14-21,1,6.15,2.04,0.83,0,0,0,0,0,0,0,0,0,4.2,0,5.43,20.13,0.89,0,0,0,0,0,4.85,0,5.39,11.54,0,0
 24-34,0.61,2.37,0,5.22,0,0,0,0,0,0,0,0,0.62,1.91,0,1.38,28.39,0,0.73,0.69,0,0,10.42,0,0,0.63,4.79,0,0
 36-46,0,0.56,0,17.21,0,0,2.42,0,0,0,0,0,0,2.23,0,5.76,22.25,0,0,0.72,0,0.97,0.75,0,0,0,12.36,0,0
 48-58,0,0.57,0,66.72,0,0,1.4,0,0,0,0,0,0,9.46,2.17,1.41,31.68,0,0,0.44,0,0,0,0,0,0,10.74,0,0
 60-70,0,0,0,235.26,0,0,2,0,0,0,0,0,0,18.27,0,4.12,58.97,1.87,1.23,0,0,0,1.07,0,0,0,2.17,0.61,0
 72-82,0,2.09,2.98,173.27,0,0,3.62,0,0.86,0.59,0,0,0,20.46,0,4.47,77.55,0,0,0,0,0,0.73,0,0,0,5.54,0.75,0
 84-94,0,1.15,0.93,118.57,0,0,8.19,0,0,0,0.73,0,0,8.49,0,3.65,60.41,0,2.05,0,0,0,0.7,0,0,0,7.84,0,1.59
 96-106,0,2.98,7.94,97.68,1.05,1,5.07,0,0,0,0,0,0,13.8,0,0.97,78.32,0,0.58,0,0,0,0,0,5.77,0,0,0,0
108-118,0,4.61,2.02,59.73,0,0.55,5.05,0,3.6,0,0,0.42,0,11.01,0,0,43.66,0,0,0.47,0,0,0.97,0,0,0,0,0.77,7.74
120,0,0,0,49.68,0,0,9.58,1.2,0,0,0,0,1.45,11.27,0,4.41,34.41,0,0,0,0,0,6.35,0,0,0,0,0,0
