stage,endocrine.pancreas,endoderm,epidermis,erythrocytes,exocrine.pancreas,eye,fast.muscle,fin.epithelia,fin.mesenchyme,glial,gut,hatching.gland,heart,immune,ionocyte,iridophores,lateral.line,liver,melanocytes,mesenchyme,mucous,mural.cell,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,pericytes,periderm,presomitic.mesoderm,pronephros,somites,spinal.cord,vascular.smooth.muscle,vasculature,visceral.smooth.muscle,xanthophores
 14-21,0,0,81.01,7.4,0,0.87,0,0.88,0,1.83,2.75,0,3.11,0,0,0,0,0,0,25.96,0,0,7.08,47.19,1.58,1.23,0.94,0.99,0,0,4.6,21.97,4.52,16.89,0,0,0,0
 24-34,0,1.23,13.37,0,0,8.05,0,0,0,3.06,1.28,0,3.56,0,0.77,0,5.46,0,0,32.32,0,0,6.6,208.97,14.39,3.2,9.15,0,0,6.34,0,45.82,1.65,52.74,0,9.77,0,0
 36-46,0,0,6.07,1.45,0,19.94,0,0,0.78,8.72,0,0,7.19,0,0,0,3.34,16.36,0,25.43,0,0.98,5.82,295.59,1.18,9.05,11.39,0,0,2.68,0,35.51,0,66.52,0,1.62,0,0
 48-58,0,0,6.02,1.82,0,77.28,0,8.05,0,31.15,0,0,1.27,0.8,0,0.62,4.88,4.98,1.1,29.93,0,0.46,10.18,391.66,4.87,6.85,15.89,0,0.56,6.72,0,40.77,0,49.97,0.42,8.01,0,0
 60-70,0,0,12.6,0,0,98.93,0,0,0,54.77,1.29,0,0.78,0,0,0.85,13.61,0,0,46.89,0,0,4.35,382.63,1.76,8.8,44.32,0,0,8.83,0,33.75,0,41.23,0.69,17.29,0,0
 72-82,1.17,0,5.04,4.81,0,165.85,0,0,0.82,45.78,1.49,0.6,2.35,4.06,0.52,0,42.45,1.08,0,57.56,0,10.13,19.87,315.37,0,6.99,64.92,0,0.8,4.5,0,6.27,0,41.45,0,20.61,0,0
 84-94,0.81,0,9.23,4.31,0,128.71,0,0,1,36.36,1.33,0,2.41,1.98,0.78,0,51.29,0,4.3,34.62,3.56,3.96,2.19,140.88,0,18.03,95.54,0,0,8.94,0,12.94,0,28.09,1.25,7.37,4.58,0
 96-106,0,5.7,9.38,6.35,1.52,41.32,0,0,0,28.11,1.83,0,0,2.12,0.63,0.74,110.86,0,0,23.5,0,0,6.42,131.78,0,12.29,132.82,0,0,15.08,0,13.75,0,36.58,0,9.55,0,0
108-118,0.77,0.42,7.44,1.91,0,56.85,2.26,4.52,0,42.73,2.39,0,0,0.96,0.45,0.84,57.41,0,0,37.38,0,6.03,1.76,151.25,0,14.48,101.14,0,0.89,4.22,0,10.38,0,7.39,0,3.85,0.44,2.95
120,3.9,3.17,3.45,9.51,0,114.19,0,2.39,0,23.32,2.92,0,0,0,0,0,49.46,0,0,67.43,0,0,3.21,336.84,3.88,14.18,138.63,0,0,1,0,43.9,0,22.38,4.55,5.75,8.78,0
