stage,blastomeres,epidermis,eye,fin.mesenchyme,glial,immune,ionocyte,iridophores,lateral.line,liver,melanocytes,mesenchyme,muscle,neural,notochord,olfactory,otic,periderm,pronephros,somites,spinal.cord,vasculature,xanthophores
  5-6,13.76,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,0,0,0,0,0,0,0,0,14.74,0,0,0,0,0,0,0,0,0
 14-21,0,1.86,0,0,0,0,0,0,0,0,1.07,1.71,1.31,7.81,1.28,0,0,0,0,0.82,0.92,0,611.72
 24-34,0,3.67,20.88,2.06,3.49,0.65,1.3,0.83,0,0,6.2,8.34,1.68,202.07,0,2.19,1.06,7.01,6.59,5.2,16.97,10.2,3521.11
 36-46,0,0,17.09,2,5.86,0,0,0.71,0,10.06,8.67,14.92,5.22,78.04,0,3.1,0,11.62,3.62,0,16.79,6.71,2942.44
 48-58,0,0,18.62,0,5.73,0,0,8.22,0.77,0,3.8,12.4,1.44,45.85,0,0,0,3.84,0,0,10.27,0,2132.78
 60-70,0,3.34,22.01,0,5.34,0,0,0,0,0,0,4.01,0,29.54,0,0,0,1.12,0,0,0,0,1139.05
 72-82,0,0,17.38,1.1,0,0,0,25.62,0,0,0,3.82,0,18.41,0,0,0,0,0,0,1.01,0,800.29
 84-94,0,0,18.4,0,0,0,0,15.66,0,0,0,0,0,13.81,0,0,0,0,0,0,0,0,281.54
 96-106,0,4.93,9.89,0,0.68,0,0,0,0,0,0,1.08,0,13.74,0,0,0,0,0,0,4.94,0,456.26
108-118,0,0,8.48,0.77,0,1.02,0,0,0,0.59,0,5.26,0,4.06,0,0,0.43,1.12,0,0,0,0,434
120,0,0,14.41,0,0,0,0,0,0,0,0,0,0,16.61,0,0,0,0,0,0,0,0,111.54
