stage,blastomeres,endocrine.pancreas,epidermis,erythrocytes,exocrine.pancreas,eye,fin.epithelia,fin.mesenchyme,glial,gut,hatching.gland,heart,immune,ionocyte,iridophores,lateral.line,liver,melanocytes,mesenchyme,mucous,mural.cell,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,pericytes,periderm,pgc,presomitic.mesoderm,pronephros,slow.muscle,somites,spinal.cord,taste,vascular.smooth.muscle,vasculature,visceral.smooth.muscle,xanthophores
  3-4,147.41,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,14.75,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.31,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,0,3.61,0,0,0,0,0,0,0,0,0,0,0,26.93,0,0,0,13.78,0,0,14.56,0,6.1,0,0,0,0,0,0,0,0
 14-21,0,0,0.93,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15.13,0,0,0,0,0,0,0,1.66,0,1.03,1.44,3.06,0,0,0,0,0
 24-34,0,0,1.71,0.69,0,3.91,0,0,0.92,0,0,0.98,0,0,0,0,0,0,4.36,0,0,0,70.31,1,0,0,0,0,12.47,0,0,0,0,0,18.21,0,0,3.42,0,1.68
 36-46,0,0,0,0,0,25.14,0,0,8.15,0,0,0,0,0,0,3.76,0,0,2.7,0,0,2.5,161.58,0,0.83,0,0,0,6.83,0,0,0.59,0,0,42.02,0,0,0,0,0
 48-58,0,0,2.64,0,0,57.59,0,0.53,13.32,0,0,0,0,0,0,0.4,0,10.45,5.99,0,0,1.06,179.08,0.85,0,1.66,0,0,0.91,0,0,0,0,0,25.18,0,0,0,0,0
 60-70,0,0,2.67,0,0,331.31,0,0,42.98,0,0,0,0,0,0,0,0,0,12.01,1.27,0,5.76,403.93,1.36,0,0,0,0,0.68,0,0,0,0.65,0,15.51,0,0,0,0,0
 72-82,0,0.71,4.16,0,0,614.32,7.49,7.45,31.27,0,0,2.58,0.49,0,0,0,1.36,0,34.59,0,1.81,6.04,470.31,0,1.31,5.74,0,2.35,1.29,0,0,1.03,0,0,17.72,0,0,2.52,1.13,0
 84-94,0,0,7.2,0,0,454.44,0,1.18,26.04,0,4.03,0,7.03,0,8.1,3.26,0,0,11.95,0,0.81,0,368.78,0,0,10.7,0,0,11.92,0,0,0,0,0,55.24,0,2.12,1.22,0,10.15
 96-106,0,0,2.89,8.02,1.05,630.55,0,0,35.32,1.61,0,0,0.94,0,0,0.99,0,0,26.19,0,1.76,0,360.47,0,0,5.9,0,1.94,5.06,0,0,0,0,0,12.61,0,3.05,3.7,0,16.98
108-118,0,0,4.07,0,0,378.63,0.71,0,46.03,0.63,0,0,1.7,0.7,0,0.66,0,0,21.64,0.51,1.87,1.8,432.67,0,0,1.6,0,0,2.62,0,0,0,0,0,4.5,0.67,0.5,1.18,1.11,0
120,0,0,10.04,0,0,358.97,0,0,62.69,0,0,0,1.57,0,0,1.11,3.92,0,49.53,0,2.47,4.89,465.4,0,0,9.88,0,0,0,0,0,0,0,0,12.04,0,0,4.27,0,0
