stage,erythrocytes,eye,glial,immune,neural,olfactory,vasculature,visceral_smooth_muscle
  7-9,0,0,0,0,7.31,0,0,0
 10-12,8.88,0,0,0,0,0,0,0
 36-46,0,1.15,0,0,0,0,0,0
 48-58,0,0.4,0.92,0,3.58,0,0,0
 60-70,0,0,0.81,0,0,0,0,0
 72-82,0,0,0,2.58,0.6,0,0,0
 84-94,0,0,0,3.12,0,0.71,0,0
 96-106,0,12.35,0,4.71,3.19,0,0,0
108-118,0,1.27,0,2.35,0,0,0.62,0.44
120,0,0,8.22,6.03,0,0,0,0
