stage,axial,blastomeres,endocrine.pancreas,endoderm,epidermis,erythrocytes,exocrine.pancreas,eye,fast.muscle,fin.mesenchyme,glial,gut,hatching.gland,heart,lateral.line,liver,mesenchyme,mucous,mural.cell,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,pericytes,periderm,presomitic.mesoderm,pronephros,slow.muscle,spinal.cord,vascular.smooth.muscle,vasculature,visceral.smooth.muscle,xanthophores
  3-4,0,247.6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12.17,0,0,0,0,0,0,0,0
  5-6,22.95,93.28,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15.84,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,0,0,0,0,0,0,0,18.6,0,0,0,0,0,0,0,18.72,3.22,0,0,3.45,0,0,0,0,0,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,0,0,0,35.53,0,0,0,0,0,0,0,8.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0
 14-21,0,0,0,0.96,1.64,0,0,0,0,0,0,0,1.18,0,0,0,4.68,0,0,2.42,5.96,0,0,0,0,0,3.18,1.13,0,0,12.12,0,0,0,0
 24-34,0.88,0,0,0.61,0.66,0,0,2.28,0,2.18,1.4,0,0,0,0,0,8.29,0,0,5.48,48.12,0,1.73,0,0,0,1.01,2.32,0,0,18.87,0,0,0,0
 36-46,0,0,0.85,0,0.94,0,0,2.57,0,0.78,3.44,0,0,0,0,0,3.59,0,0,3.22,91.46,0,1.22,0,0,0,0,0,0,0,43.05,0,0.56,0,0
 48-58,0,0,1.18,0,1.43,0,0,30.88,0,0,1.43,0,0,0,0,0,13.7,0,0.56,0.53,205.03,0,0,0,0,0,4.17,0,0,0.42,42.36,0.44,0,0,0
 60-70,0,0,0,0,3.45,0,0,43.07,1.58,0,2.04,0,0,0,0,0,29.38,0,0,3.69,287.67,0,1.7,0,0,0,0,0,0,0,67.32,1.64,0,0,12.31
 72-82,0,0,6.82,0,4.64,0,0,84.07,0,0.81,5.27,8.64,0,0,0,0,55.39,0,0,0.75,459.36,0,0,0.53,0,0,0,0,0,0,76.21,2.07,0,3.06,0
 84-94,0,0,2.86,0,1.34,0,0,39.8,0,0.94,7.3,4.92,0,0,0,0,30.34,8.6,6.27,0.93,324.82,0,0,0,0,0,2.67,0,0,0,41.76,1.03,0,8.16,0
 96-106,0,0,7.4,0,13.59,7.33,0,56.43,0,0,6.23,11.46,0,0,2.09,10.55,67.92,0,0,3.19,243.92,0,1.59,0.57,0,1.33,1.39,0,0,0,20.16,5.21,0,0.87,0.8
108-118,0,0,8.92,0,1.8,0.79,0.49,82.35,0,0,10.74,7.92,0,0,0,0,34,0,0,6.78,288.69,0.43,0,0,0,0,3.58,0,0,0,22.9,0,0,0,0
120,0,0,15.04,0,4.85,0,0,45.18,0,0,0,11.47,0,4.46,0,0,11.9,0,0,0,333.91,0,0,0,0,0,5.37,0,1.56,0,32.5,0,0,0,0
