stage,axial,blastomeres,endocrine.pancreas,endoderm,epidermis,erythrocytes,eye,fast.muscle,fin.epithelia,glial,gut,heart,immune,iridophores,lateral.line,melanocytes,mesenchyme,mucous,mural.cell,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,pericytes,periderm,pronephros,slow.muscle,somites,spinal.cord,vasculature,visceral.smooth.muscle,xanthophores
  5-6,0,12.05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.13,0,0,0,0,0,0,0,0,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10.62,3.08,0,0,0,0,0,0,0,0,0,0,0,0
 14-21,0,0,0,0.98,14.64,0,1.04,0,0,41.25,0,0,0,0,0.92,0,15.07,0,0,3.43,62.33,1.14,1.03,0.88,3.81,0,0.84,17.85,0.95,9.68,107.89,0,0,3.62
 24-34,0,0,0.81,1.86,2.6,0,4.74,0,0,36.71,0,1.21,0,0.64,0.77,0,3.79,0,0,3.18,69.66,5.82,7.58,2.71,0,0,0.83,3.5,0,0.66,87.93,0.62,0,0
 36-46,0,0,0,0,3.4,0,9.17,0,2.87,35.69,0,0,0,0,0,0,7.78,0,0,1.96,55.2,4.62,19.1,3.33,0,0,11.85,0,0,0,61.03,2.14,0,0
 48-58,0,0,0,0,0.57,0,16.67,0,1.13,44.09,0,0.47,0,0,0,0.79,16.26,0,0.75,6.76,98.5,0,9.37,0,0,0,0.48,0,0,0,53.77,0,0,0.62
 60-70,0,0,0,0,0.57,0,109.99,3.67,0.63,70.19,1.59,0,0,0.64,0,0,22.13,0,0,9.37,126.03,1.33,15.86,2.37,0,1.19,0,0.79,0.82,0,58.63,6.19,0,0
 72-82,0,0,0,0,14.33,0,142.32,0,0,54.67,2.92,0.68,4.79,11.66,0,0,21.02,0.52,0,0.58,108.57,0,10.76,0,0,0,0.57,0,3.31,0,11.86,1,2.45,3.5
 84-94,0.62,0,0,0,2.17,0,93.03,0,0,34.8,0,0,0,0.96,1.55,0,24.81,0,0,0,82.89,0.65,6.19,4.72,0,0,0,2.15,0,0,14.28,4.22,0,0
 96-106,0,0,0,0,0.62,7.92,113.12,0,0,22.05,0,0,1.88,0,2.86,0,11.65,0,0.79,0,98.26,0,9.12,2.48,0,0,0,0,0,0,9.88,1.88,0,0
108-118,0,0,1.15,0,0.62,0,75.64,0,0,22.91,0,0,7.52,1.44,0,0,11.65,0,0,0.57,91.61,0,17.28,4.96,0,0,1.37,0,0,0,4.17,3.17,0,0
120,0,0,0,0,7.93,0,84.91,0,4.2,72.7,0,0,5.75,0,0,0,8.59,0,0,0,318.56,5.23,4.41,6.66,0,0,3.67,1.47,0,0,15.97,14.62,0,0
