stage,blastomeres,endocrine.pancreas,endoderm,epidermis,erythrocytes,exocrine.pancreas,eye,fast.muscle,fin.mesenchyme,glial,heart,immune,iridophores,lateral.line,mesenchyme,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,periderm,pronephros,spinal.cord,vasculature
  5-6,25.34,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,21.58,0,0,0,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8.33,0,0,0,16.17,0,0,0,0
 14-21,0,0,0,3.69,0,0,0,0,0,7.12,0,0,0,0,0.86,0.87,0.84,1.33,0,0,0,0,0,3.75,0
 24-34,0,0,0,0.67,0.83,0,0,0,0,0,0,0,0,0,0,1,5.62,0,0,0,0,0.63,2.28,1.71,1.04
 36-46,0,0,0,2.84,0,0,1.77,0,0.81,0,0,0,0,0,0,0,6.07,0,6.9,0,0,0,2.05,3.9,0.68
 48-58,0,0,0,0,0,0,2.61,0,0.55,3.24,0,0,0,0,1.71,1.23,13,0,9.7,0,0,0,1.93,0.77,0
 60-70,0,0,0,0,0,0,0.68,0,0,4.04,0,0.67,0,0,0.57,0,5.34,0,6.52,0,0,0,0,3.2,1.05
 72-82,0,0,0,0,0,0,0,0,5.83,0.79,0,0,0,0,3.5,0,14.58,0,17.63,0,0,0,0.86,0,0
 84-94,0,0,0,0,0,0,3.95,0.91,0,0,1.1,0,0.93,1.2,0,0,8.58,0,7.21,0,0,0,0.7,10.2,0
 96-106,0,1.07,0,0,0,0,0.72,0,0,6.47,0,0,0,4.83,3.01,3.85,0,0,9.08,1.73,0,0,0.58,0,0
108-118,0,0,1.15,0,0,0.5,1.46,0,0,1.44,0,0.64,0,0,0.68,0,8.81,0,8.11,2.87,0,0,0.78,1.03,0
120,0,0,0,1.46,10.45,0,1.01,0,0,0,0,2.12,0,0,0,0,17.53,0,3.36,0,0,0,0,0,1.89
