stage,axial,blastomeres,endoderm,epidermis,eye,fast.muscle,glial,heart,mesenchyme,muscle,neural,notochord,otic,paraxial.mesoderm,periderm,presomitic.mesoderm,spinal.cord,vascular.smooth.muscle,vasculature
  3-4,0,66.25,0,0,0,0,0,0,0,0,0,0,0,0,19.97,0,0,0,0
  5-6,11.52,85.84,0,0,0,0,0,0,0,0,26.15,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,7.84,0,0,0,0,0,31.65,3.71,0,11.28,0,0,0,0,0
 10-12,0,0,4.44,0,0,0,0,0,0,0,85.08,0,0,4.49,0,0,0,0,0
 14-21,0,0,0,0,0,0,0,0,0,0.94,5.69,0.88,0,0,0,2.71,1.59,0,0
 24-34,0,0,0,0,1.77,0,0,0,2.3,0,12.8,0,0,0,0.96,0,4.49,0,2.94
 36-46,0,0,0,0,7.06,0,0,0,0.71,0.63,19.63,0,0,0,0,0,0,0,0
 48-58,0,0,0,0,16.97,0.81,0,0,0.52,1.15,3.06,0,0,0,0,0,4.42,0,0
 60-70,0,0,0,0,0,0,0,0,0,0,11.69,0,0,0,0,0,0,0,0
 72-82,0,0,0,0,3.93,0,4.44,1.72,0.49,0,2.48,0,0,0,0,0,0,0,0
 84-94,0,0,0,2.02,0,0,0,0,1.25,0,9.76,0,0,0,1.02,0,0,0,0
 96-106,0,0,0,0,0,0,1.66,0,0,0,0,0,0.73,0,0,0,0,0,0
108-118,0,0,0,0,2.44,0,0,0,0,0,0,0,0,0,0,0,0,1.37,6.49
120,0,0,0,0,4.6,0,0,0,0,2,0,0,0,0,0,0,0,0,0
