stage,epidermis,eye,fast.muscle,fin.epithelia,fin.mesenchyme,glial,mesenchyme,muscle,neural,pericytes,periderm,presomitic.mesoderm,pronephros,spinal.cord,vasculature
 14-21,2.72,0,0,0,0,0,0,0,4.19,0,0,0.93,0.86,0.84,0
 24-34,0,0.91,0,0,0,0,0.69,0.8,3.4,0,0,0,0,0,0.81
 36-46,0,0.64,0,0,0,0,1.27,0,2.58,0,0,0,0,0,1.51
 48-58,0,1.12,1.65,0,0,0,1.55,0.53,11.58,0,0.68,0,0,0.9,0
 60-70,0,2.11,1.06,0,0.64,1.49,6.51,0.69,1.67,0,0,0,0,0,0
 72-82,0,2.32,0,0,0,0.66,1.76,0,3.26,1.53,0,0,0,0,0
 84-94,0.61,2.43,0,0,0,0,10.09,0,6.06,0,0,0,0,0,1.22
 96-106,0,0.73,0,0,0,0,1.08,0,3.26,0,0,0,0,0,0
108-118,1.2,10.9,0,0,0,0,3.77,0,4.25,0,0,0,0,0,2.44
120,1.07,0,0,1.42,0,0,10.82,0,10.29,0,0,0,0,0,0
