stage,axial,blastomeres,endocrine.pancreas,endoderm,epidermis,erythrocytes,exocrine.pancreas,eye,fin.mesenchyme,glial,gut,hatching.gland,heart,immune,lateral.line,liver,melanocytes,mesenchyme,mucous,mural.cell,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,periderm,presomitic.mesoderm,slow.muscle,somites,spinal.cord,vasculature,visceral.smooth.muscle,xanthophores
  3-4,173.98,3224.09,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,270.65,0,0,0,0,0,0,0
  5-6,107.49,1292.34,0,10.49,0,0,0,0,0,0,0,12.54,0,0,0,0,0,0,0,0,0,7.48,0,0,0,0,25.03,0,0,0,0,0,0,0
  7-9,11.5,11.02,0,9.07,0,0,0,28.44,0,0,0,21.95,0,0,0,0,0,0,0,0,0,186.36,3.38,0,0,89.14,0,0,0,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,34.48,0,0,0,15.48,0,0,0,0,0,0,0,0
 14-21,0,0,1.41,0.88,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,26.29,0,1.37,0,0,0,2.48,0,0.84,14.83,0,0,0
 24-34,0,0,0,0,3.22,0.94,0,8.4,0,2.52,0,0,0,0,0,0,0,2.87,0,0,1.31,26.53,1.71,0,0,0,0,0,0,0.61,82.58,0.71,0,0
 36-46,0,0,0,0,0.76,0,0,15.55,0,0.72,0,0,0,0,0,0,1.15,0.86,0,0,0,14.18,0,0,0.59,0,0,0,0.94,0,73.78,5.71,0,0
 48-58,0,0,0,0,0,0,0,38.83,0.64,1.4,0,0,0,0,0,0,0.51,1.41,0.83,0,0,26.98,0,0,0,0,0,0,0,0,30.19,0,0,0
 60-70,0,0,0,0,1.54,0,0,60.28,0,21.09,0,0,0,0.65,0.77,0,0,3.29,0,0,0,26.63,0,0,0,0,0,0,0,0,11.09,0,0,0
 72-82,0,0,0,0,0,1.31,0,97.93,0,1.03,0.56,0,0,0.49,0,0,0,0,0,2,0,20.94,0,0,0,0,0.54,0,0,0,5,0.7,1.39,0
 84-94,0,0,0,0,1.08,0,0,142.95,0,5.79,1.71,0,0,1.74,0,0,0,3.2,0,1.22,0,17.55,0,0,0,0,0,0,0,0,3.6,1.37,0,6.99
 96-106,0,0,0,0,0,0,1.31,189.84,0,6.14,4.52,0,2.78,2.66,0.71,0,0,15.31,1.17,0,0.88,11.37,0,0,0.61,0,0,0,0,0,2.89,0,0.81,0
108-118,0,0,0,0.49,0,0,0,204.49,0.59,0,0,0,0,2.12,0,0.89,0,1.88,0,0,0,12.97,0,0,0,0,0,0,0,0,2.97,1.56,0,0
120,0,0,0,0,0,0,0,219.34,0,4.45,1.12,0,0,0,0,0,0,0,0,0,0,22.34,0,0,0,0,0,0,0,0,0,0,0,0
