stage,epidermis,eye,gut,immune,ionocyte,neural
 14-21,0,0.91,0,0,0,0
 24-34,0,0,0,0.71,0,0
 60-70,0,0,1.43,0,0,0
 72-82,0,0,28.42,0,0,0
 84-94,0,0,27.62,0,0.58,0
 96-106,1.33,0,0,0,0,3.47
108-118,13.5,0,99.36,0,0.83,0
120,44.99,0,22.53,1.38,0,13.14
