stage,blastomeres,epidermis,erythrocytes,eye,fast.muscle,fin.epithelia,fin.mesenchyme,glial,gut,heart,ionocyte,lateral.line,liver,melanocytes,mesenchyme,mural.cell,muscle,neural,notochord,paraxial.mesoderm,periderm,spinal.cord,vasculature,visceral.smooth.muscle,xanthophores
  3-4,15.15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,7.02,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11.85,0,0,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8.61,0,4.73,0,0,0,0,0
 14-21,0,0.87,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.84,0,0,0,0,0,0,0,0
 24-34,0,0.8,0,0,0,0,0,0,0,0,0,0,0,1.19,1.73,0,4.78,8.33,0,0,0,0,0,0,0
 36-46,0,0,0,1.99,2.73,0,0,0,0,0,0,0,0,0,4.45,0,4.44,6.35,0,0,0,0.78,0,0,0
 48-58,0,0,0,0.59,1.45,0,0,0,0.64,0,0,0.46,0,0,11.39,0.41,0.88,5.61,0,0,0,1.14,0,0,0
 60-70,0,1.02,0,0,0.78,0,0,1.13,0,0,0,0,0,0,12.17,0,0,7.2,0,0,0,1.37,16.59,0,0
 72-82,0,0,5.7,16.75,0.58,0,0,0.76,0,0,0,0,0,0,9.98,0,1.57,7.4,0,0,0,0,6.54,0,0
 84-94,0,1.21,0,4.96,0,1.13,0,0,0,1.06,0,0,0,0,10.89,0,9.8,1.3,0.67,0,3.11,0,6.03,0,4.79
 96-106,0,1.31,0,1.32,1.34,0,2.44,3.86,0,0,0,0,8.98,0,15.76,0,0,7.49,0,0,0,0,5.63,2.25,0
108-118,0,1.02,0,0.58,0,0.57,1.16,4.67,0,0,0,0,0,0,23.25,0,0,5.48,0,0,0,0,17.53,0,0
120,0,0,0,0,1.26,0,0,0,1.45,0,1.72,0,0,0,8.9,0,0,0,0,0,0,0,0,0,0
