stage,blastomeres,endocrine.pancreas,endoderm,epidermis,erythrocytes,eye,fast.muscle,fin.epithelia,fin.mesenchyme,glial,gut,heart,immune,ionocyte,mesenchyme,mural.cell,muscle,neural,notochord,otic,paraxial.mesoderm,periderm,pronephros,somites,spinal.cord,vascular.smooth.muscle,vasculature,visceral.smooth.muscle
  5-6,8.84,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.42,0,0,0,0,0,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8.85,15.65,0,10.34,0,0,0,0,0,0,0
 14-21,0,0,0,0.93,2.74,1.22,0,0,0,0,0,0,0,0,8.57,0,1.85,2.9,13.82,0,0,0,0,0.87,95.97,0,0,0
 24-34,0,0.84,0,1.53,0,5.55,0,0,0,0,0,1.58,0,5.77,4.2,0,2.97,5.94,0,0,0,1.68,4.71,0,48.94,0,0,0
 36-46,0,0,0,0,0,0.58,0,0,0,0,0,0,0,4.48,10.15,0,2.89,13.27,0,0,0,0,8.54,0,11.03,0,0,0
 48-58,0,0.46,1.75,0,0,9.62,0,7.42,1.53,0,0,0,0,1.26,37.84,0,1.94,40.04,0,0,0,0,6.08,0,7.04,0,0,0
 60-70,0,0,0,0,0,59.26,0,6.88,8.4,0,0,0.76,0,4.21,87.22,0,4.62,63.89,0,0,0,0,0,0,17.17,0.9,0,0
 72-82,0,0,0,1.07,0,71.83,0,0,9,2.87,0.61,0,0,2.26,89.39,1.1,1.83,49.64,0,0.51,0,0,0,0,20.41,0,4.92,0
 84-94,0,0,0,3.2,0,26.82,0,8.33,10.79,0.68,0,0,0,6.64,73.96,0.76,2.56,13.9,0,0,0,0,1.5,0,7.82,1.03,0,1.64
 96-106,0,0,0,0.97,0,32.64,1.34,0,9.34,3.57,0,0.87,0.86,5.66,59.91,0.73,0.9,10.13,0,0,0,0,1.1,0,11.63,2,3.94,0
108-118,0,0,0,0.48,0,37.35,0.68,0,1,3.38,0,0,0.61,7.65,110.68,0,3.5,36.77,0,1.82,0,0,0.54,0,0,0.5,0,0
120,0,0,0,0,0,34.16,0,2.34,0,18.5,0,0,0,7.83,120.51,0,8.54,31.37,0,3.13,0,0,0,0,3.29,0,0,0
