stage,axial,blastomeres,endoderm,epidermis,eye,fin.mesenchyme,glial,gut,hatching.gland,mesenchyme,muscle,neural,notochord,paraxial.mesoderm,periderm,presomitic.mesoderm,pronephros,slow.muscle,somites,spinal.cord,vasculature
  5-6,25.04,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,17.56,0,15.97,0,10.23,0,0,0,41.22,0,0,58.48,100.5,58,0,0,0,0,0,0,0
 10-12,0,6.56,28.46,0,9.79,0,0,0,36.63,0,0,292.66,96.34,127.21,0,4.56,22.83,0,22.94,0,0
 14-21,0,0,0,0,0,0,0,1.09,0,0,8.57,15.91,1.7,0,0,8.08,0,18.23,15.33,12.95,0
 24-34,0,0,0,0,2.09,0,0,0,0,0,0,36.55,0,0,0,0,0,0,0.84,16.44,0
 36-46,0,0,0,0,5.87,0,0,0,0,0,0,24.54,0,0,2.54,0,0,0,0,0,0
 48-58,0,0,0,0,7.67,0,0,0,0,0,0,32.98,0,0,0,0,0,0,0,3.71,1.33
 60-70,0,0,0,0,2.77,0,0,0,0,0,0,13.02,0,0,0,0,0,0,0,5.86,10.18
 72-82,0,0,0,0,6.82,0.67,1.11,0,0,1.2,0,3.87,0,0,0,0,0,0,0,2.31,0
 84-94,0,0,0,0,10.38,0,0,1.87,0,0,0,2.41,0,0,0,0,0,0,0,0,0
 96-106,0,0,0,0,0.63,0,0,0,0,0,0,5.21,0,0,0,0,0,0,0,0,0
108-118,0,0,0,0.45,0.51,0,0,0,0,0,0,7.41,0,0,0,0,0,0,0,0,0
120,0,0,0,0,5.46,0,0,0,0,0,0,10.86,0,0,0,0,0,0,0,0,0
