stage,axial,blastomeres,endoderm,epidermis,erythrocytes,eye,fin.mesenchyme,glial,gut,hatching.gland,heart,immune,ionocyte,iridophores,lateral.line,liver,mesenchyme,mural.cell,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,pericytes,periderm,pgc,presomitic.mesoderm,pronephros,somites,spinal.cord,taste,vascular.smooth.muscle,vasculature,visceral.smooth.muscle,xanthophores
  3-4,75.25,956.81,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11.57,0,0,0,0,0,0,0,0,0,0
  5-6,8.84,322.77,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,44.99,0,0,0,12.41,0,10.12,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,31.83,0,0,0,5.77,0,0,0,0,0,0,0,0,0,189.42,0,0,0,36.65,0,0,37.11,0,0,0,0,0,0,0,0,0
 10-12,0,10.64,6.52,0,0,46.22,0,0,0,6.84,0,0,0,0,0,0,0,0,0,408.54,8.66,0,0,72.48,0,0,4.37,0,11.95,0,11.35,0,0,0,0,0
 14-21,0,0,4.27,6.14,1.89,9.69,0,10.93,1.28,0,0,0,0.82,0,0,0,10.15,0,5.76,216.25,2.89,0.86,1.8,4.94,0,2.84,0,8.99,4.42,9.12,95.89,0,0,0,0,0
 24-34,0,0,0,4.48,0.89,38.73,0,2.41,0.66,3.85,0,0.87,0,0,0,0,24.33,0,11.08,436.73,0.7,5.74,4.47,0,0,7.54,0,0,1.68,1.54,79.81,0,0,11.33,0,0
 36-46,0,0,0,2.62,1.1,103.63,2.19,7.08,0,0,0,0,0,0,0,0.57,20.49,0,1.42,271.38,0.64,3.89,0,0,0,9.44,0,0,3.13,0,63.71,0,0,3.01,0,8.92
 48-58,0,0,0,3.27,2.74,175,0,16.35,0,0,5.82,0,0,0,2.61,0.38,28.88,5.39,2.61,165.14,0,0,0.44,0,0,0.88,0,0,0.73,0,25.85,0,0,2.05,0,0
 60-70,0,0,0,5.76,3.84,144.86,0.71,10.13,0,0,0.93,0,0,0,1.55,0.74,25.83,1.36,0.72,80.51,0,1.67,0,0,0,0.63,0,0,0,0,7.39,0,0,1.7,0,0
 72-82,0,0,0,0.7,5.4,94.95,1.03,10.14,3.47,0,0,0.59,0,0,0,0,10.11,1.17,2.87,58.96,0,1.05,0,0,0,0,0,0,0,0,2.89,0,0,5.07,0,0
 84-94,0,0,0,0,0.64,103.66,1.4,17.31,2.28,0,0,0,0,4.69,0,0,13.48,2.38,8.58,53.81,2.27,3.6,0.72,0,0,0,0,0,2.18,0,0.58,0,0,4.92,0,0
 96-106,0,0,0,0,0,48.45,0,18.71,0.69,0,0,0,0,0,0,1.2,15.58,0.67,0,56.54,0,4.19,4.38,0,3.91,0,0,0,1.91,0,4.08,0,1.08,10.25,0,1.13
108-118,0,0,0,2.68,0.96,56.87,0,17.04,0.48,0,0,2.06,0.71,0.7,0,0,18.65,4.67,3.32,60.45,1.72,0.77,0,0,0,0,0,0,2.05,0,3.45,0.58,1.19,2.07,0,0
120,0,0,0,3.41,3.85,74.91,1.49,40.99,0,0,0,5.56,0,0,0,0,14.72,0,5.39,53.19,0,0,14.55,0,0,0,0,0,0,0,1.57,0,0,0,2.31,0
