stage,axial,blastomeres,endocrine_pancreas,endoderm,epidermis,erythrocytes,exocrine_pancreas,eye,fast_muscle,fin_epithelia,fin_mesenchyme,glial,gut,heart,immune,ionocyte,iridophores,lateral_line,liver,melanocytes,mesenchyme,mucous,mural_cell,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,pericytes,periderm,presomitic_mesoderm,pronephros,slow_muscle,somites,spinal_cord,taste,vascular_smooth_muscle,vasculature,visceral_smooth_muscle,xanthophores
  3-4,0,20.7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,0,9.91,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.04,0,0,0,0,0,0,0,0,0,0,0,0
 10-12,0,0,0,12.58,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15.08,0,0,0,8.56,0,0,0,0,0,0,0,0
 14-21,0,0,0,0,8.76,63.38,0,0,0,0,0,0,0,2.91,0,0,0,0,0,0,17.74,0,0,16.79,4.56,0.83,0,0,0.83,0,0,0.83,0,1.91,4.28,4.5,0,0,71.36,0,0
 24-34,0.88,0,0,0,20.61,16.2,0,2.83,0,0,4.12,0,0.67,21.36,2.8,0,0,1.54,0,2.86,157.48,0,0,82.94,31.13,10.82,0,0.78,0,0,0,0,4.55,0,0.61,4.76,0,0,296.89,0,0
 36-46,0,0,0,0,46.37,1.17,0,6.68,0,10.7,7.3,0,0.66,13.68,1.32,0,0,0.95,1.21,0,298.92,0,0,88.84,26.24,0,0.69,7.93,0,0,0,0,1.97,0,0,9.39,0,0,80.92,0,0
 48-58,0,0,0,0,49.88,0,0,15.16,0.55,18.07,14.06,4.01,7.82,9.02,11.77,0,0,0,1.82,0,345.82,0,0.39,53.81,40.94,0,1.69,0,0,0,0.99,0,0.37,0,0,0,0,1.73,43.37,0,0
 60-70,0,0,0,0,31.78,0.77,0,15.48,0,25.78,5.15,1.39,12.58,8.08,10.49,0,0,1.43,14.66,9.95,482.25,0,0,39.59,43.29,0,3.48,1.38,0,0,0,0,0.85,0,0,4.72,0,5.58,43.01,0,0
 72-82,0,0,0,0.56,37.32,0.58,0,32.59,0.5,13.91,42.46,10.98,17.62,17.12,11.97,0,2.56,3.09,11.35,0,633.16,0,6.36,33.46,46.58,0,2.05,0,0,3.36,1.16,0,0.57,0,0,3.83,0,4.5,117.36,2.4,2.1
 84-94,0,0,0.94,0,63.27,0,0,49.23,0,36.6,14.98,0.7,20.77,18.24,6.64,0,0,0.78,31.26,0,446.08,0,6.8,21.46,31.51,0,5.5,0.87,0,0.6,3.64,0,2.34,0,0,0,0,6.77,110.51,0,0
 96-106,0,0,0,0,43.53,0,0,55.93,0,12.26,19.19,2.03,6.98,27.86,2.62,1.25,0,4.31,28.45,0,422.94,0.84,3.32,14.08,44.16,0,10.53,1.68,0,3.38,1.37,0,2.93,0,0,0,0,5.47,114.04,0,0
108-118,0,0,0,0.49,78.52,1.18,2.65,63.58,0,24.9,14.39,0.56,14.6,16.81,3.7,0,0,2.68,36.43,0,510.91,2.71,11.17,22.85,45.36,0.47,7.59,3.86,0,2.52,0,0,2.3,0,0,4.67,1.13,2.1,133.09,5.62,0
120,0,0,0,0,72.2,1.41,0,31.16,7.84,20.62,17.48,0,8.98,16.27,9.24,0,0,8.75,27.57,0,388.26,0,0,6.56,24.62,0,5.64,20.99,0,4.22,1.62,0,3.89,0,0,0,2.31,4.12,102.43,0,0
