stage,axial,blastomeres,endocrine.pancreas,endoderm,epidermis,erythrocytes,exocrine.pancreas,eye,fin.epithelia,fin.mesenchyme,glial,gut,hatching.gland,heart,immune,ionocyte,lateral.line,liver,melanocytes,mesenchyme,mucous,mural.cell,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,pericytes,periderm,presomitic.mesoderm,pronephros,somites,spinal.cord,taste,vascular.smooth.muscle,vasculature,visceral.smooth.muscle,xanthophores
  3-4,9.45,112.82,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,33.14,0,0,0,0,0,0,0,0,0
  5-6,9.55,133.09,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,7.1,0,8.49,0,0,0,13.68,0,0,0,0,3.55,0,0,0,0,0,0,0,0,0,0,107.27,0,0,0,56.38,0,0,0,0,0,0,0,0,0,0,0
 10-12,3.8,0,0,10.82,0,0,0,16.34,0,0,0,0,4.32,0,0,0,0,0,0,0,0,0,0,422.46,11.9,0,0,46.08,0,0,0,0,0,0,0,0,0,0,0
 14-21,0,0,3.64,1.09,5.05,0,0,0.8,0,0,9,0,0,0,0,0,0,0,0,0.84,0,0,0,177.76,0,3.04,0,0,0,1.07,0.88,2.98,1.26,79.33,0,0,0,0,0
 24-34,0,0,2.79,0,8.48,0,0,9.05,0,0,23.14,0,0,0,2.19,5.24,1.39,0,0,3.47,0.86,0,1.94,613.86,0,3.13,1.69,0,0,0,0,6.44,0,157,0,0,0,0,0
 36-46,0,0,0,0,10.05,0,0,31.27,0.69,0,27.43,0,0,0,0.94,0,1.93,0,0.89,10.74,0,0,0,1054.61,0.58,3.97,1.48,0,0,0,0,6.9,0,281.36,0,0,0,0,0
 48-58,0,0,0,0.43,5.85,0,0,36.63,3.29,0.43,41.82,0,0,0,0,0.49,0.4,0,0,15.43,0,1.16,1.01,688.53,0.5,0,2.73,0,0.47,0,0,0,0,145.76,0,0,0,0,0.4
 60-70,0,0,0,0,1.56,0,0,172.65,1.09,0,43.85,1.57,0,0,0,0,0,0,0,24.96,0,1.3,0,662.71,0,0,1.25,0,0,3.95,0,1.17,0,89.68,0,0.61,0,0,0
 72-82,0,0,1.49,0,5.35,5.39,0,196.81,0.5,0,63.02,4.83,0,0,1.67,0,1.21,0,0,13.15,0.59,0,2.37,464.87,0,0,5.3,0,1.4,0.56,0,0,0,69.26,0,0,0,0,0
 84-94,0,0,2.31,0,16.97,0,0,243.27,1.41,0.77,77.57,2.03,0,0,2.89,2.49,0.72,0.6,0,18.24,0,9.19,1.76,425.5,0.63,0,5.97,0,0,4.75,0,0.56,0,41.43,0.9,1.25,0,0.98,0
 96-106,0,0,1.51,0,15.05,5.95,0,164.58,3.23,0,42.24,3.51,0,0,0.87,0.93,3.79,8.43,0,24.24,0,1.37,0,252.28,0,1.78,1.93,0,1.96,6.18,0,0.7,0,10.93,0,0,3.63,0,0
108-118,0,0,2.41,0,18.2,0,1.04,95.64,10.98,0,43.37,3.59,0,0.49,1.07,2.6,0.81,1.57,0,13.93,0,1.88,0,301.74,0.61,1.76,2.82,0,0,0,0,1.35,0,11.43,1.41,0,3.8,4.13,0
120,0,0,0,0,17.06,0,0,68.21,5.8,0,95.07,6.52,0,0,6.57,3.26,0,0,0,3.93,0,0,0,467.28,0,0,0,0,0,0,0,0,0,5.94,1.63,0,1.14,0,0
