stage,blastomeres,endocrine_pancreas,endoderm,epidermis,erythrocytes,exocrine_pancreas,eye,fast_muscle,fin_epithelia,fin_mesenchyme,glial,gut,heart,immune,ionocyte,iridophores,liver,melanocytes,mesenchyme,mural_cell,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,pericytes,periderm,pronephros,slow_muscle,somites,spinal_cord,vasculature,visceral_smooth_muscle,xanthophores
  3-4,35.35,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,8.56,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8.36,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,0,10.12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,53.93,0,0,0,4.45,0,0,0,0,0,0,0,0,0
 10-12,0,0,6.03,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,25.94,0,0,0,0,0,0,6.91,0,0,0,0,0,0
 14-21,0,0,4.59,3.41,2.15,0,0,0,0,0,0,1.81,0,0,0,0,0,0,0,0,0,13.21,0,0,0,0,0,1.06,0,1.74,3.61,10.09,0,0,0
 24-34,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.78,0,0,0,67.59,4.6,0,0,0,0,0,0,0,0,85.22,0,0,0
 36-46,0,0,0,0,0,0,0,4.08,0,0,0,0,0,0,0,0,0,8.92,0,0,0,102.4,0,0,0,0,0,0,0,0,0,43.72,0,0,0
 48-58,0,0,0,0,0,0,6.34,0,0,0,0.86,0,0,0,0,0,0,12.1,1.02,0,0,239.01,0,0,0,0,0,0,0,0,0,53.1,0,0,0
 60-70,0,0,0,3.46,0,0,315.09,0,0,0,0,0,0,0,0,0,0,0.59,0.63,0,7.55,631.14,0,1.23,0,0,0,0,0,0,0,46.69,0,0,2.96
 72-82,0,0,0,20,1.13,0,1401.84,0,0,1.2,21.17,0,0.66,0.59,0,0.57,0,0,6.17,0,0.74,1323.34,0,0,0,0,0,0,0,0,0,39.35,0.86,1.95,0
 84-94,0,0,0,12.51,0.79,0,1199.45,0,1.15,1.34,25.96,0,0,0.73,0,0,0,1.81,6.79,1.01,0,909.51,0.61,0,4.13,0,0,0,0,0,0,17.59,0,4.46,0
 96-106,0,0.99,0,12.38,6.21,1.05,2150.77,0,1.8,1.54,23.71,0,0,0,3.3,0.63,0,5.41,16.37,0,1.64,1004.25,0,0,0.63,0,0,0,0.7,0,0,21.94,0.98,1.26,0
108-118,0,0,0.74,17.67,0,0,1405.02,0,0.55,0,15.71,0,0,0.82,3.12,0,6.36,0.83,10.75,0,0.7,1361.22,0,0,0.55,0,1.02,1.87,0,0,0,7.14,0,0,0
120,0,0,0,10.44,0,0,567.78,12.08,1.31,0,43.25,0,0,6.76,0,0,0,0,35.98,0,0,1610.3,0,0,4.56,0,0,2.55,0,0,0,16.9,0,0,0
