stage,blastomeres,epidermis,erythrocytes,exocrine.pancreas,eye,fast.muscle,fin.epithelia,glial,melanocytes,mesenchyme,mural.cell,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,periderm,pronephros,slow.muscle,somites,spinal.cord
  3-4,12.53,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,7.22,0,0,0,0,0,0,0,25.82,0,0,0,0,0,0,0,0,0
 14-21,0,0,0,0,0,0,0,0,0,0,0,0,0,35.99,0,0,0.99,0,0,40.38,11.79,0
 24-34,0,0,0,0,0,4.11,0,0,0,0.7,0,2.62,15.99,18.74,0.99,0.6,0,0,0,35.82,24,1.4
 36-46,0,0,0,0,0,14.77,0,0,0,0,0,6.71,24.31,47.45,0,0,0,0,0,7.74,2.61,3.42
 48-58,0,0,0,0,2.3,25.45,0,0.85,0,0,0,5.76,17.44,11.39,0,0,0,0,0,11.76,0,1.92
 60-70,0,1.07,0,0,1.22,10.79,0,0,0,2.79,0,0,4.21,23.41,0,0,0,0,0.76,8.23,0,0
 72-82,0,0,0,0,7.82,14.11,0,5.28,0,0.75,0,0,16.78,15.31,0,0,1.13,0,2.8,9.43,0,2.02
 84-94,0,0,0,0,4.43,17.24,0.84,0,0,2.74,0,4.84,11.94,0,0,0,0,3,0,2.29,0,0
 96-106,0,0.67,2.63,0,6.32,16.93,0.75,4.05,0,10.62,3.15,2.32,30.93,1.06,0,0,0,0,0,17.63,0,1.95
108-118,0,0,0,0.53,5.27,20.44,0,0,2.88,0.73,0,10.08,21.91,25.83,0,0,0,0,0,4.46,0,0
120,0,0,0,0,1.08,23,0,5.36,0,0,0,7.13,10.72,0,0,0,0,0,0,1.52,0,0
