stage,axial,blastomeres,endocrine.pancreas,endoderm,epidermis,erythrocytes,eye,fin.epithelia,fin.mesenchyme,glial,gut,heart,immune,ionocyte,iridophores,lateral.line,liver,mesenchyme,mural.cell,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,pericytes,periderm,pgc,presomitic.mesoderm,pronephros,somites,spinal.cord,taste,vasculature,visceral.smooth.muscle,xanthophores
  3-4,34.78,896.92,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,17.67,98.32,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,6.46,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11.72,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15.67,0,0,0,9.79,0,6.87,0,0,0,0,0,0,0,0,0
 14-21,0,0,0,0,2.54,0.86,0.8,0,0,5.48,0,0,0,0,0,0,0,0,0,0,11.94,0,0,1.14,0,0,1.97,0,1.48,5.2,1.61,13.87,0,0,0,0
 24-34,0,0,0,0,0,0,4.34,0,0,11.51,0,0,0,0,0,0,0,4.3,0,0,27.2,0.67,0.88,0.73,0,0,0,0,0,4.89,0,16.6,0,0.87,0,0
 36-46,0,0,0,0,1.07,0,1.55,0,2.07,4.73,0,0,0,0,0,0,0,0,0,1.26,85.93,0,0,0.77,0,0,1.61,0,0,0.56,0,30.55,0,0,0,0
 48-58,0,0,0,0,0,0,5.12,0,0.54,12.73,0,0,0,0,0,1.69,0,1.56,0.37,0,111.41,0,2.23,1,0,0,0,0,0,0,0,14.13,0,0,0,0
 60-70,0,0,0,0,0.71,0,10.5,0,0,13.38,0.85,0.87,0,0,1.16,0.77,0,1.62,0,0,219.92,0,0,1.5,0,0,0,0,0,1.12,0,14,0,0,0,1.77
 72-82,0,0,0.93,0,0,0,19.82,0,0,43.16,0,0.75,0,0,5.83,0.72,2.73,15.11,0,0,243.32,0,0,9.43,0,0,0,0,0,0.56,0,33.95,0,0,0.65,0
 84-94,0,0,0,0,2.08,0,32.05,0,0,13.88,0,0,0,0,0.67,5.25,0,7.29,0,0,197.88,1.05,7.18,6.66,0,0,5.31,1.4,0,0.58,0,13.5,0,3.11,0,0
 96-106,0,0,0.81,0,3.59,0,39.38,0,0,38.1,0.57,0.95,1.29,0,0,3.34,0,10.51,0,0,120.26,0,5.26,13.14,0,0,0.61,0,0,0.73,0,22.89,0,0,0,0
108-118,0,0,0,0.49,1.84,4.41,28.58,0.74,1.34,36.61,0,0,0,0.63,0,3.59,0,21.76,0,0,233.82,0,3.51,11.95,0,2.47,0,0,0,0.55,0,9.68,0.43,0,1.03,0
120,0,0,0,0,14.25,1.46,9.28,0,0,41.07,0,0,2.85,0,0,7.52,0,3.91,0,0,516.72,0,4.59,21.57,0,0,0,0,0,3.07,0,68.29,0,0,0,0
