stage,endocrine_pancreas,epidermis,erythrocytes,exocrine_pancreas,eye,fast_muscle,fin_epithelia,fin_mesenchyme,glial,gut,immune,ionocyte,iridophores,lateral_line,liver,melanocytes,mesenchyme,mucous,mural_cell,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,periderm,pronephros,slow_muscle,spinal_cord,taste,vascular_smooth_muscle,vasculature,visceral_smooth_muscle,xanthophores
  7-9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16.64,0,0,0,0,0,0,0,0,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16.78,0,0,0,13.19,0,0,0,0,0,0,0,0,0
 14-21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.38,0,0,0,0,0,7.73,0,0,0,0,0,6.27,0,0.8,0,0,0,0,0
 24-34,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8.05,0,0,0,0,0,5.3,0,0,0,0,0,117.59,1.27,0,0,0,0,0,0
 36-46,0,0,0,0,0,1.42,0,0,0,1.6,0,0,0,0,1.51,0,0,0,0,0.95,6.54,0,0,0,0,0,82.01,15.71,2.75,0,0,0,0,0
 48-58,0,0,0,0,0.42,3.46,3.52,0,0,12.35,0,0,0,0,29.64,1.41,0,0,0,2.55,6.25,0,0,0,0,0,55.29,0,3.52,0,0,0,0,0
 60-70,0,0,0,0,12.93,2.2,0,0,1,28.69,0,0,0,0,45.2,0,0.86,0,0,0,16.14,0,0,0,0,0,50.13,1.48,4.75,0,0,0,0,0
 72-82,1,1.99,0.84,0,19.85,1.46,0,0,7.35,74.91,0,0,0,2.1,124.94,0,1.52,0,0,0.64,36.9,0,2.23,0,0,2.31,68.46,0,1.98,0,0,0,0,1.88
 84-94,0,0,0,1.52,17.21,0,0,0,4.39,120.51,0,0,0,0,327.4,0,0,0,0,0,44.02,0,1.79,0.89,0,1.62,128.77,0.62,0,0,0,0,0,0
 96-106,2.25,0,1.41,1.07,49.41,1.98,1.74,0,1.14,172.37,0.93,1.47,0,0,399.56,0,19.6,0,0,1.35,88.93,0,0,0,0,6.37,112.34,0,4.58,0,1.22,6.68,0,0
108-118,0,2.23,0,3.05,29.79,3.85,0,1.03,3.71,166.51,3.05,2.22,0,0,491.54,0.76,9.76,0.77,4.24,1.88,90.49,1.52,2.8,1.38,0,0.56,83.17,0.99,2.47,0.54,0,1.03,0.72,0
120,0,8.13,0,0,15.66,0,0,0,3.71,107.24,0,0,6.44,0,357.56,0,0,0,6.37,5.09,84.84,0,0,1.86,0,0,63.5,0,0,0,0,0,3.54,0
