stage,axial,blastomeres,endocrine.pancreas,endoderm,epidermis,erythrocytes,exocrine.pancreas,eye,fast.muscle,fin.epithelia,fin.mesenchyme,glial,gut,hatching.gland,heart,immune,ionocyte,iridophores,lateral.line,liver,melanocytes,mesenchyme,mucous,mural.cell,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,pericytes,periderm,presomitic.mesoderm,pronephros,somites,spinal.cord,taste,vascular.smooth.muscle,vasculature,visceral.smooth.muscle,xanthophores
  3-4,0,54.03,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,0,57.37,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13.76,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,3.82,0,0,5.73,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,40.57,0,0,0,7.74,0,0,0,0,0,0,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,3.82,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15.73,0,0,0,12.23,0,0,0,0,0,0,0,0,0,0,0
 14-21,0,0,0,0,1.9,0,0,3.74,0,0,0,0,0.85,0,0,0,0,0,0,0,0,1.84,0,0,1.56,32.53,1.15,0,0,0,0,2.15,2.15,0,3.43,7.11,0,0,0,0,0
 24-34,0,0,0,0,12.4,0,0,16.23,0,3.84,0,4.81,0,0.93,2.52,0,0,0,0.64,0,0,19.63,0,0,2.35,136.54,4.07,4.29,0.62,0,0,5.14,0,0,0,19.69,0,0,5.23,0,0.61
 36-46,0,0,0,0,11.37,0,0,40.63,0,0.62,0,4.95,0,0,0,0,0,0,0,0,0,10.43,0,0.74,2.13,156.92,1.62,0,0.9,0,0,10.42,0,7.49,0,19.27,0,0,5.85,0,0
 48-58,0,0,0,0,11.69,0,0,72.18,0,0,0.37,5.52,0,0,0.82,0,0.37,0,0,0,0,27.25,0.56,0.6,9.99,112.72,0,0,2.95,0,0,11.76,0,0,0,35.04,0,0,12.14,0,0
 60-70,0,0,10.41,0,15.79,0,0,93.65,0.95,0,2.48,15.14,0,0,0,5.63,0,0,0.84,0,0,24.67,3.86,0.81,11.59,138.33,1.09,6.39,2.96,0,0,9.69,0,1.06,0,23.27,0,0,14.07,0,0
 72-82,0,0,0.9,0,6.05,7.99,0,71.1,0,0,1.51,6.64,0.66,0,0,0,0.66,1.24,0,0,0,38.26,0,4.13,6.65,147.63,2.48,0,0,0,0,3.97,0,0,0,5.03,0,0,7.06,0,0
 84-94,0,0,0,0,3.25,0,0,31.5,0,2.31,0,6.82,6.02,0,0,0.84,1.06,0,0,0,1.19,15.46,0,0,0,87.31,0,0,1.76,0,0,6.57,0,2.02,0,24.21,4.51,2.48,9.99,0,0
 96-106,0,0,1.17,0,6.85,0,0.6,35.83,0.64,0,0,11.07,2.84,1.32,0,1.37,0.73,0,2.65,0,0,24.87,0,0,1.34,106.1,0,1.86,2.39,0,0,20.99,0,1.71,0,13.8,1.23,1.22,8.88,0.63,0
108-118,0,0,0,0,7.24,4.93,3.34,46.93,0,2.12,3.58,15.64,10.04,0,0,2.14,4.92,0,1.48,1.15,0,27.21,0.77,0,2.33,84.09,0.71,0.67,2.24,0,3.15,11.85,0,0,0,10.7,0,0,13.29,0,0
120,0,0,0,1.28,8.57,0,0,58.72,0,0,0,42.48,1.92,0,0,3,0,12.97,2.13,0,0,19.37,3.22,2.47,0,210.68,5.39,0,12.89,0,0,27.21,0,0,0,15.97,4.32,0,38.58,0,0
