stage,blastomeres,endocrine_pancreas,endoderm,epidermis,erythrocytes,exocrine_pancreas,eye,fast_muscle,fin_mesenchyme,glial,immune,ionocyte,liver,mesenchyme,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,pericytes,pronephros,slow_muscle,somites,spinal_cord,vascular_smooth_muscle,vasculature,visceral_smooth_muscle
  5-6,36.66,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10.96,0,0,0,0,0,0,0,0,0,0,0,0
 10-12,0,0,10.01,0,0,0,0,0,0,0,0,0,0,0,0,28.22,0,0,0,0,0,0,0,0,0,0,0,0
 14-21,0,0,0,1.88,0,0,0,0,0,28.56,0,0,0,1.17,0,5.22,1.58,0,0.88,1.74,0,34.82,0,0,66.9,0,0,0
 24-34,0,0,0,0,0,0,0,0,0,55.09,0,0.64,0,2.56,3.67,20.2,0,2.8,0,0,0,47.68,0.67,0.84,69.81,0,0,0
 36-46,0,0,0,2.48,0,0,0,0,0,34.14,0,0,0,0,0,39.42,0,4.53,0,0,0,59.55,0,0,51.46,0,0,0
 48-58,0,0,0,0,0,0,7.94,4.28,0,64.83,0,0,0,2.09,0,30.15,0,8.44,0,0,0,35.58,0,0,58.39,0,0,0
 60-70,0,0,0,0,0,0,7.46,0,0.63,34.4,0,0,0,0,0,13.94,0,7.16,0,0,0,16.07,2.16,0,60.39,0.99,0,0
 72-82,0,0.56,0,0,0,0,3.77,1.4,0,36.88,0,0,0,6.32,0,5.9,0,7.11,0,0,0,3.88,0,0,7.01,0.87,1.1,0
 84-94,0,0,2.02,0.9,0,0,3.76,0,0.74,26.14,0,0,0,0,0.68,21.63,0,24.52,0,0,0,17.54,0,0,38.19,0.68,0,0
 96-106,0,0.83,2.3,0,2.42,0,6.5,2.1,0,34.61,2.04,1.23,1.2,0,0,1.19,0,29.99,0,0,0,11.03,0.64,0,17.35,0,0,0.69
108-118,0,0,1.06,1.67,0,1.51,1.96,1.15,2.07,15.11,0,0,1.25,2.13,0,6.64,0,17.72,0,0,2.89,12.49,0,0,13.73,0,0,0
120,0,0,0,1.69,0,0,2.88,2.34,0,44.76,1.18,4.89,0,6.34,0,0,0,65.65,0,0,0,64.03,0,0,6.32,6.07,0,0
