stage,blastomeres,endocrine.pancreas,endoderm,epidermis,erythrocytes,eye,fast.muscle,fin.epithelia,fin.mesenchyme,glial,gut,immune,ionocyte,lateral.line,mesenchyme,mucous,mural.cell,muscle,neural,olfactory,otic,paraxial.mesoderm,periderm,pronephros,slow.muscle,spinal.cord,taste,vascular.smooth.muscle,visceral.smooth.muscle
  3-4,11.42,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,15.76,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,29.39,0,0,3.42,3.37,0,0,0,0,0,0
 10-12,0,0,5.78,0,0,4.23,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
 14-21,0,0,0,0,0,0,0,0,0,0,0,0,2.99,0,0,0,0,0.87,1.32,0,0,0,5.3,0.89,0,0,0,0,0
 24-34,0,0,0,0,0,0,0,0,0,0,0,0,3.1,0,0,0,0,0,9.64,0.63,0,0,15,0,0,7.75,0,0,0
 36-46,0,0,0,0,0,0.61,0,0,0,0,0,0,0,0,2.06,0,0.63,0,9.02,1.12,0,0,50.93,0.74,0.79,9.02,0,1.04,0
 48-58,0,0,0,0.83,0,0,0.84,1.03,0,2.67,0,0,0,0,3.41,1.11,1.36,0,22.31,0,0,0,28.77,6.2,2.95,10.5,0,0.42,0
 60-70,0,0,0,3.27,0,5.11,0,0,0,51.93,0,0,0,0,3.28,0.67,8.12,0,20.63,0,1.62,0,48.28,0.73,2.69,21.08,0,0,0.98
 72-82,0,0.97,0,2.76,0,13.18,0,1.95,0,102.88,0,0,4.03,0,1.33,1.47,4.16,0,49.16,3.36,0,0,39.34,0,0,6.9,0,0,1.84
 84-94,0,1.75,0,6.69,6.72,5.89,0,0,0,55.94,2.78,0,0,0,2.38,1.76,9.19,0.95,30.98,0.71,0,0,83.42,1.62,2.52,6.96,0,0,1.66
 96-106,0,0,0,4.26,0,9.41,0,0,0,73.61,2.11,0.63,3.83,0,0,0.77,0.93,0.69,38.74,0.74,0,0,129.05,0,7.07,7.52,0,1.58,1.16
108-118,0,0,0,8.35,0,10.13,1.17,1.58,1.91,57.7,4.53,0,2.64,0.47,0.42,1,1.48,0,70.41,1.07,0.92,0,79.58,0,1.16,2.91,1.6,3.58,0.6
120,0,0,0,3.97,0,8.22,1.01,0,0,94.36,0,0,0,0,0,0,0,0,96.04,0,0,0,70.62,4.24,0,2.98,5.98,0,0
