stage,erythrocytes,exocrine.pancreas,eye,glial,immune,mesenchyme,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,spinal.cord
  7-9,0,0,0,0,0,0,0,18.3,0,0,0,4.18,0
 14-21,0,0,0,0,0,0,0,1.05,0,0,0,0,0.98
 24-34,0,0,1.29,2.23,0,0,0,6,0.69,0,0.61,0,7.68
 36-46,0,0,1.63,3.33,0,0.57,0,10.01,0,0,0,0,3.31
 48-58,0,0,3.39,0.8,0,0,0.67,3.22,0,0,0,0,1.8
 60-70,0,0,0.83,0.8,0,0,0,5.22,0,0,0,0,0
 72-82,0,0,0,1.78,0,0,0,1.03,0,0,0,0,0.96
 84-94,0,0,0,0,0,0,0,4.67,0,0,0,0,0
 96-106,0,0,0,1.79,0,0,0,5.91,0,0,0,0,0
108-118,0,1.11,0,3.77,0,1.47,0,1.59,0,0.55,0,0,0
120,13.46,0,0,8.87,6.22,0,0,0,0,0,0,0,0
