stage,axial,blastomeres,endocrine.pancreas,endoderm,epidermis,erythrocytes,exocrine.pancreas,eye,fast.muscle,fin.epithelia,fin.mesenchyme,glial,gut,hatching.gland,heart,immune,ionocyte,iridophores,lateral.line,liver,melanocytes,mesenchyme,mural.cell,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,pericytes,periderm,pgc,presomitic.mesoderm,pronephros,slow.muscle,somites,spinal.cord,taste,vascular.smooth.muscle,vasculature,visceral.smooth.muscle,xanthophores
  3-4,20.65,480.3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,14.54,384.92,0,0,0,0,0,0,0,0,0,0,0,10.32,0,0,0,0,0,0,0,0,0,0,14.28,0,0,0,18.66,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,7.95,32.39,0,8.36,0,0,0,44.08,0,0,0,0,0,23.68,0,0,0,0,0,0,0,0,0,0,341.39,14.47,0,0,99.29,0,0,0,0,0,0,0,0,0,0,0,0,0
 10-12,0,21.27,0,25.31,0,5.34,0,53.93,0,0,0,0,0,4.9,0,0,0,0,0,0,0,0,0,0,538.79,35,0,0,275.39,0,0,0,0,33.89,0,3.11,0,0,0,0,0,0
 14-21,0,0,0,3.15,29.6,7.12,0,7.33,0,0,0,0.87,3.13,0,0.85,0,0.95,0,0,0,0,18.41,0,9.38,147.75,4.88,2.8,0,3.41,0,3.98,1.12,17.85,0,5.67,41.64,93.89,0,0,2.43,0,0
 24-34,0,0,0,4.84,16.01,0.68,0,19.83,0,0,0,10.97,0,0,2.89,0,0,0,1.31,0,0,29.67,0,13.41,500.28,1.74,4.58,2,0,0,12.72,0,0,0.98,3.98,16.25,138.13,0,0,7.96,0,2.31
 36-46,0,0,0.95,0,5.98,0,0,68.78,0,0.57,1.5,31.48,0.74,0,2.18,0,0,0,0,0.57,5.51,35.66,0,9.04,888.98,1.33,9.01,3.9,0,0,12.13,0.73,0,0,0.67,0.69,219.94,0,0,7.98,0,3.29
 48-58,0,0,0,0,2.56,0,0,141.79,0.67,8.56,0.55,72.42,0,0,1.23,0.46,0,0,0,0,0.48,46.69,5.72,5.97,870.17,0,4.37,2.5,0,0.47,6.46,0,0,0,0.85,0,215.68,0,0,18.6,0,0.93
 60-70,0,0,0,0,11.75,0,0,273.75,0.69,9.39,20.47,77.87,0,0,0,0.69,0,0,1.45,0,6.83,81.06,3.89,1.16,820.36,0,4.37,0,0,1.03,6.37,0,0,4.67,0.65,0,133.07,0,0.59,2.51,0,7.17
 72-82,0,0,0,0,5.06,6.22,0,289.81,4,2.44,0,64.96,0.53,0,3.35,0.63,0,1.42,2.41,0,0,92.66,1.08,7.6,637.14,0.58,9.06,2.26,0,0.84,7.79,0,0,0.57,0,0,92.17,0.87,2.05,15.43,3.19,3.29
 84-94,0,0,0.81,0,15.57,3.17,0,167.33,0.69,1.86,0.81,47.71,1.51,0,0,1.57,1.15,2.78,1.77,1.69,0,45.16,1.22,13.17,502.11,6.6,1.9,7.37,0,0,9.88,0,0,0.64,0,0,57.62,0,1.47,1.88,3.55,4.6
 96-106,0,0,1.19,0,12.99,14.13,1.07,199.54,0.76,2.73,0.92,55.99,3.34,0,0.73,0.94,0.67,8.26,1.08,0,1.03,89.72,4.27,9.4,485.34,0,5.05,2.8,0,1.03,8.89,0,0,0,0,0,28.08,1.08,0.79,13.6,5.07,0
108-118,0,0,0.79,0,19.55,6.67,0,119.48,1.41,0.97,0.43,57.95,3.93,0,0.43,0.98,0.54,7.23,2.71,0,1.34,70.35,1.22,8.34,386.07,1.34,8.3,4.16,0,2.81,5.66,0,0,0,0.44,0,9.89,0,1.19,16.01,0.72,0.99
120,0,0,0,0,4.54,5.41,0,198.45,2.98,7.65,0,47.29,2.14,0,1.85,5.31,1.07,3.18,0,1.01,0,70.29,0,4.62,544.87,0,10.75,2.38,0,0,2.4,0,0,1.13,0,0,40.14,0,0,17.22,0,4.25
