stage,axial,blastomeres,endocrine.pancreas,endoderm,epidermis,erythrocytes,eye,fast.muscle,fin.mesenchyme,glial,gut,hatching.gland,heart,immune,ionocyte,iridophores,liver,mesenchyme,mural.cell,muscle,neural,olfactory,otic,paraxial.mesoderm,pericytes,periderm,presomitic.mesoderm,pronephros,slow.muscle,spinal.cord,taste,vascular.smooth.muscle,vasculature,visceral.smooth.muscle,xanthophores
  3-4,0,18.46,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,0,32.66,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,4.23,0,0,10.72,0,0,19.65,0,0,0,0,3.98,0,0,0,0,0,0,0,0,7.75,0,0,4.59,0,0,0,0,0,0,0,0,0,0,0
 10-12,0,4.79,0,5.34,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,40.44,0,0,25.17,0,0,0,0,0,0,0,0,0,0,0
 14-21,0,0,4,0,3.96,0,0,0,0,0,0,0,0,0,0,0,0,100.07,0,33.5,17.03,1.02,0,0,0,0,1.74,0,0,8.51,0,0,0,0,0
 24-34,16.06,0,0.89,0,0.64,0,0,0,0,1.77,0,0,0,0,0,0,0,167.03,0,7.52,18.46,0,0,0,0,0,0,2.94,0,0.6,0,0,12.37,0,0
 36-46,0,0,1.66,0,0.68,2.17,0,0,0,0,0,0,0,0,0,0,0,256.85,0,0.68,50.91,1.21,0,0,0,0,0,0,0,2.96,0,3.69,3.02,0,0
 48-58,0,0,0,0,0,0,10.84,0.52,0,1.19,0,0,0.47,0,0,0,0,510.99,0.39,2.02,44.38,0,0,0,0.87,0,0,0,0.4,7.6,0,2.49,6.26,0,0
 60-70,0,0,0.62,0,2.34,3.51,17.23,0,0,13.25,0,0,0,0,0,0,0,907.09,18.49,0,81.47,0,0,0,9.18,0,0,0,0,0,0,31.91,0.89,29.99,0
 72-82,0,0,0,0,2.03,0.61,53.53,0,2.11,62.15,0.69,0,0,0,0,0,0,1276.63,41.19,6.28,67.07,0.58,0.69,0,61.81,1.21,0,0,0,2.93,2.61,77.32,1.63,115.74,0
 84-94,0,0,0,0,3.4,1.33,50.9,2.23,1.45,25.31,0,0,0,0,0,0,0,1207.44,45.27,5.17,43.64,0,3.75,0,17.04,0,0,0.67,1.03,1.03,0,66.51,8.02,115.7,0
 96-106,0,0,0,0,6,4.34,42.99,0,1.21,61.86,0,0,0,0.65,0,0,1.8,1099.21,31.16,3.86,48.86,0,0,0,116.35,0.71,0,0,0,0.6,0,39.41,4.52,217.84,0
108-118,0,0,0.41,0,1.31,0,15.42,0,0,36.17,0,0,0,0,0,0.51,0,975.53,11.55,4.53,85.85,1.88,0,0,79.98,0,0,0.43,0,2.33,0,26.38,1.91,155.93,1.98
120,0,0,0,0,1.3,0,39,1.99,0,68.71,0,0,0,0,1.45,0,0,871.98,40.01,17.3,59.64,0,0,0,12.66,0,0,0,0,0,0,16.04,0,359.35,0
