stage,blastomeres,endocrine.pancreas,endoderm,epidermis,erythrocytes,exocrine.pancreas,eye,fast.muscle,fin.epithelia,fin.mesenchyme,glial,gut,heart,immune,ionocyte,iridophores,lateral.line,liver,melanocytes,mesenchyme,mucous,mural.cell,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,pericytes,periderm,presomitic.mesoderm,pronephros,slow.muscle,somites,spinal.cord,taste,vascular.smooth.muscle,vasculature,visceral.smooth.muscle,xanthophores
  3-4,73.75,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,64.74,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,0,4.13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,22.89,0,0,0,4.9,0,0,0,0,0,0,0,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20.62,5.01,0,0,3.67,0,0,0,0,0,0,0,0,0,0,0,0
 14-21,0,0,0.81,2.8,2.71,0,3.9,0,0,0,7.41,0,0,0,0,0,0,0,0,3.55,0,0,1.67,1010.75,0,24.58,1.24,1.21,0,0,3.47,0,0,6.5,594.1,0,0,0.89,0,0
 24-34,0,1.36,0,9.98,0.6,0,25.98,0,1.43,0,13.83,0,2.04,0,0,1.57,0,2.32,0,12.09,0,0,7.62,5174.12,0.6,76.27,0.8,0,0,7.29,0,0,0,1.52,1175.55,0,0,7.68,0,0
 36-46,0,0.98,0,17.37,0,0,475.33,0,0,0.57,48.55,0,2.85,1.23,5.05,0,0,0,0,26.17,0,0,4.53,13419.52,5.83,71.83,6.44,0,0,11.58,0,0,0.67,0,2191.66,0,0,16.19,0,7.38
 48-58,0,0,0,34.59,0.48,0,1120.96,3.83,1,2.8,197.4,0,1.05,0.46,0,28.14,0.44,10.16,7.38,62.56,1.82,0,12.49,16290.63,1.42,31.84,0.89,0,0,10.01,0,0,0.4,0,2645.1,0,0,13.51,0,12.88
 60-70,0,0.7,0,24.76,14.5,0,1178.8,0,7.15,8.38,159.13,0.57,0,0,0,1.83,0,0,11.26,52.73,0,2.03,3.73,12326.48,17.46,30.08,0,0,1.71,3.17,0,0,0,0,2128.81,0,0.71,1.33,0.89,11.45
 72-82,0,1.87,0,32.62,15.09,0,999.74,0,6.05,5.56,150.45,3.02,0,1.67,1.79,0.57,0,2.65,0.85,67.01,0,8.55,9.57,9562.02,0,33.74,2.49,0,0,11.08,0,0,0,0,973.83,0,0.87,5.09,7.13,21.59
 84-94,0,1.05,0,41.85,5.76,0,922.93,1.91,2.54,2.58,151.18,1.52,0.7,3.43,0.92,1.34,0.65,0.68,0,76.01,0,4.09,10.03,6948.56,2.4,32.28,1.22,0,7.92,18.86,0,0.65,0,0,686.38,2.17,0.84,2.59,2.66,8.66
 96-106,0,1.17,1.03,35.66,3.15,0,525.91,1.02,4.46,2.94,147.67,1.43,0,1.88,0,0,2.21,13.64,0,67.35,3.91,1.74,3.68,5078.83,0,37.2,0.98,0,3.22,14.64,0,0,0.66,0,297.65,2.03,1.64,0.68,8.25,1.9
108-118,0,0.93,1.22,31.37,12.78,6.04,638.77,1.57,0,4.08,118.54,3.28,1.32,3.12,0,1.18,0,1.51,0,66.71,0,3.8,9.68,5644.97,1.07,46.99,2.82,0,0,3.51,0,0,0,0,262.98,0.89,6.66,9.47,2.47,1.8
120,0,0,0,31.2,0,0,741.84,20.48,1.21,0,328.71,2.93,0,4.07,0,0,1.69,19.61,0,87.1,0,9.54,8.95,6240.29,0,39.64,7.8,0,3.68,7.8,0,0,0,0,300.9,0,0,12.8,0,0
