stage,blastomeres,eye,fin.mesenchyme,glial,gut,heart,mesenchyme,mural.cell,muscle,neural,paraxial.mesoderm,periderm,spinal.cord,vasculature
  5-6,25.15,0,0,0,0,0,0,0,0,0,0,11.11,0,0
  7-9,0,8.02,0,0,0,0,0,0,0,18.47,3.88,0,0,0
 10-12,0,3.34,0,0,0,0,0,0,0,0,0,0,0,0
 14-21,0,0,0,0,0,3.05,0,0,0,0,0,0,0,0
 24-34,0,0,1.23,0,0,2.16,1.81,0,0,0,0,0,0,0
 36-46,0,0,0,0,0,1.45,3.35,0,0,1.68,0,0,0,0
 48-58,0,0,0,0,0,0,2.52,0,0,2.2,0,0,0,0
 60-70,0,0,0,0,0,0,12.98,0,0,9.17,0,0,1.98,0
 72-82,0,1.47,0,0,0,0,14.14,0,0,3.78,0,0,6.85,0
 84-94,0,0,0,3.87,0,0,2.85,0,0,0,0,0,2.67,0
 96-106,0,0,0,0,0,0,19.13,2.17,0.69,0,0,0,3.38,2.92
108-118,0,0,0,0,0.52,4.72,10.45,0,0,1.98,0,0,0,0
120,0,0,0,0,0,0,0,0,0,0,0,0,0,19.01
