stage,blastomeres,endocrine.pancreas,epidermis,erythrocytes,exocrine.pancreas,eye,fast.muscle,fin.mesenchyme,glial,gut,immune,ionocyte,lateral.line,melanocytes,mesenchyme,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,periderm,pronephros,somites,spinal.cord,taste,vasculature,visceral.smooth.muscle,xanthophores
  3-4,9.73,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,10.9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.65,0,0,0,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.88,0,0,0,0,0,0,0,0,0,0,0,0
 14-21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,19.76,0,0.98,0,0,1.1,0,0,28.84,0,0,0,0
 24-34,0,1.28,2.14,0,0,4.13,0,0,0,0,0,0.7,0,0,0,14.47,248.19,10.1,12.97,0,0,1.17,0,12.29,119.62,0,0,0,0
 36-46,0,0.98,0,4.05,0,2.17,3.52,0,0,0,0,0,0,0,0,2.18,515.56,0,21.73,0,0,0,0,0,213.73,0,0,0,0
 48-58,0,0,13.72,0,0,17.98,0.67,2.69,8.33,0,0,0,0,1.1,1.15,0,662.24,0,13.81,0,0,3.34,0,0,138.65,0,0.85,0,0
 60-70,0,0.89,0,0,0,29.95,0,0.93,3.7,0,2.33,0,0.73,0,6.06,0,691.25,0,11.13,0,0,0,0,0,117.42,0,0,0,0
 72-82,0,2.07,0,0,0,53.78,0,0,2.38,2.13,0,0,0,0,4.79,0,524.34,0,23.08,1.13,0,0,0,0,67.71,0,0,0,3.84
 84-94,0,0,1.44,0,0,44.53,0,0,9.43,0,3.52,0,0,0,11.43,0,260.37,0,6.82,6.1,0,1.42,0,0,49.45,3.89,0,0,0
 96-106,0,2.5,6.03,0,0,43.99,0,1.31,4.37,3.81,0,0,0,0,2.66,0,302.86,0,17.93,1.09,0,1.01,1.46,0,15.45,7.55,0,1.38,0
108-118,0,1.79,1.42,0,0,61.5,0,0,4.95,2.95,0,0,0,0,1.31,1.83,354.57,0,40.97,3.26,0,0,0,0,14.57,9.3,0,1.03,0
120,0,3.9,5.04,0,1.71,44.07,0,19.12,5.67,0,2.27,0,0,0,11.28,0,408.62,0,12.8,8.58,0,0,0,0,33.72,1.32,0,0,0
