stage,axial,blastomeres,endocrine.pancreas,endoderm,epidermis,erythrocytes,exocrine.pancreas,eye,fin.epithelia,fin.mesenchyme,glial,gut,hatching.gland,heart,immune,ionocyte,iridophores,lateral.line,liver,melanocytes,mesenchyme,mucous,mural.cell,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,pericytes,periderm,pgc,presomitic.mesoderm,pronephros,somites,spinal.cord,taste,vascular.smooth.muscle,vasculature,visceral.smooth.muscle,xanthophores
  3-4,116.04,1104.63,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14.43,0,0,0,0,0,0,0,0,0,0
  5-6,128.84,1242,0,0,0,0,0,0,0,0,0,0,27.46,0,0,0,0,0,0,0,0,0,0,0,10.18,0,0,0,13.43,0,25.4,0,0,0,0,0,0,0,0,0,0
  7-9,14.47,87.99,0,96.99,0,0,0,375.47,0,0,0,0,62.75,0,0,0,0,0,0,0,0,0,0,0,1994.07,54.28,0,0,518.31,0,0,0,0,13.28,0,0,0,0,0,0,0
 10-12,0,50.1,0,154.81,0,15.65,0,492.1,0,0,0,0,16.92,0,0,0,0,0,0,0,0,0,0,0,3502.65,42.84,0,0,992.89,0,0,19.68,0,97.49,0,3.28,0,0,0,0,0
 14-21,0,0,1.07,5.89,118.7,26.45,0,90.18,0,0,158.23,3.78,0,1.86,0,0,0,0.93,1.15,0,81.76,0,0,39.47,1036.59,16.3,1.95,77.55,36.28,0,0.85,10.7,148.48,175.41,81.35,641.76,0,0,0.95,0,0
 24-34,0,0,0,3.73,34.9,0.62,0,76.29,0.78,0,129.18,0.85,2.27,0.76,0,0,0,9.29,3.41,0,84.91,0,1.66,32.26,660.84,4.21,16.17,46.17,0,0,2.77,0,2.69,142.22,16.41,382.25,0,0,27.92,0,0
 36-46,0,0,0,0.59,10.15,3.29,0,83.88,0,1.4,90.85,1.38,0,0.69,0,0,0,1.51,3.57,6.95,66.56,0,0.74,12.32,445.68,0,16.46,39.54,0,0,1.55,1.1,0,93.07,0,209.03,0,0,10.32,0,3.36
 48-58,0,0,0,0,7.35,0,0,137.97,0,0.89,143.58,2.39,0,0,0,0.39,6.09,5.3,0,0,100.67,0,2.29,17.68,286.33,0,31.58,43.96,0,0.61,3.95,1.49,0,39.41,0,164,0,0,0.51,0,0
 60-70,0,0,0.57,0,29.22,0,0,224.92,0,4.96,146.96,4.53,0,0,0.65,0.57,0,7.16,0,0,84.4,6.11,11.03,5.12,172.41,0,26.58,57.44,0,0,4.23,0,0,47.93,0,125.81,0,2.5,0,0,0
 72-82,0,0,5.05,0,5.03,0,0,107.92,0,2.72,140.28,18.91,0,0.87,0,0,0,30.18,0,0,88.03,0,0,6.98,92.82,0,36.93,72.78,0,0.71,4.06,0,0,21.4,0,46.66,0,2.37,0.62,1.63,6.32
 84-94,0,0,13.02,1.01,16.23,0,0,129.95,0.63,3.55,69.51,13.05,0,0.88,1.41,3.92,0,24.63,0,0,76.75,0.62,4.67,5.73,68.58,0,41.71,105.59,0,0,4.07,0,0,40.13,0,53.2,0,2.14,4.2,0.82,7.98
 96-106,0,0,3.82,1.66,12.32,0,0.8,68.63,0.62,1.65,63.27,9.22,0,0,1.59,1.85,3.46,51.17,0,0,52.86,0.68,5.11,7.75,71.96,0.57,56.26,110.03,0,0,6.3,0.7,0,35.32,0,28.44,1.24,0,0.67,3.04,0
108-118,0,0,2.58,4.44,16.6,2.62,0.96,58.73,0.64,5.7,95.29,4.02,0,0,0,1.56,0,24.4,3.13,0,72.11,0.61,0,7.53,72.95,0,41.24,98.39,0,0,0.5,0,0,27.15,0,17.74,1.86,0,0.48,0,0
120,0,0,2.52,0,27.91,0,0,45.61,4.01,6.28,98.79,0,0,3.83,0,1.01,0,28.69,14.8,0,54.45,0,0,1.5,148.4,0,47.02,119.12,0,0,2.13,2.5,0,19.74,0,0,0,1.52,0,0,0
