stage,axial,blastomeres,endoderm,epidermis,eye,fast.muscle,fin.epithelia,fin.mesenchyme,glial,gut,heart,immune,ionocyte,iridophores,liver,mesenchyme,mural.cell,muscle,neural,olfactory,otic,pericytes,periderm,slow.muscle,spinal.cord,taste,vascular.smooth.muscle,visceral.smooth.muscle,xanthophores
  3-4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13.35,0,0,0,0,0,0
  5-6,7.23,16.58,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13.42,0,0,0,0,0,0,0,0,0,0
 10-12,0,0,11.11,0,4.45,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
 14-21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.49,0,0,0,0,0,0,0,0,0,0
 24-34,0,0,0,0,0,0,0,0,0,0,1.75,0,0,0,0,1.08,0,0.76,56.03,1.66,0,0,0,0,2.48,0,0,0,0
 36-46,0,0,0,0,0,0,0,1.17,7.11,0,1.74,0,0,0,0,41.17,0,0,62.02,7.1,2.34,0,0,1.32,2.72,0,0,0,0
 48-58,0,0,0,0,5.98,0,0,0.46,8.54,0,0.39,0,0,0,0,59.29,4.5,3.98,18.73,0,2.89,0,0.39,0,4.64,0,0,0,3.82
 60-70,0,0,0,0,1.39,0,0,4.6,4.34,0,0,0,0,0,0,164.49,0,3.63,37.95,0,13.39,0.84,0,0,7.19,0,0,0,0
 72-82,0,0,0,1.67,12.16,1.37,0,2.98,2.46,1.75,0.68,1.92,0,0,0,217.52,1.1,5.58,16.35,1.09,18.7,0,0,0,1.76,0,0,0,0
 84-94,0,0,0,0,8.21,0,0,2.49,2.17,0,0,0,0,0.58,0,138.25,0,9.02,16.24,5.81,9.73,4.32,1.39,0,0,0,0,0,0
 96-106,0,0,0,0.6,5.71,0,10.23,1.64,0.7,0,0.78,0,0.58,0.71,0,151.33,4.16,0,30.75,2.31,44.67,2.84,1.38,0,0,3.37,0.66,0,0
108-118,0,0,0,1.61,4.74,0,0,1.84,2.61,0,1.42,1.64,0,0,0,166.26,0,2.45,28.32,2.8,36.66,0,0,0,0,0,0,0.42,0
120,0,0,0,0,24.12,0,0,0,0,0,0,0,0,3.65,3.69,164.72,0,0,26.1,0,71.22,0,0,0,5.07,0,6.44,0,0
