stage,epidermis,erythrocytes,eye,glial,mesenchyme,muscle,neural,olfactory,presomitic.mesoderm,spinal.cord
 14-21,0.81,0,0,0,0,0,0,0,0,0
 24-34,0,0,0,0,0.71,0,1.97,0,3.08,3.62
 36-46,0,0,0,0,1.64,0,15.69,0,0,0.61
 48-58,0,0,5.27,0.5,0,0,11.87,0,0,3.77
 60-70,0,0,3.93,8.85,0.59,0,54.96,1.11,0,2.38
 72-82,0,0.54,3.89,0,0,0,35.61,0,0,3.54
 84-94,0,0,0,0,0,0,4.67,0,0,0
 96-106,0,0,1.71,0.56,3.87,0,26.11,2,0,4.33
108-118,0,0,1.94,0,0,0.91,14.23,1.3,0,0
120,0,0,3.62,0,0,0,30.93,14.68,0,0
