stage,axial,blastomeres,epidermis,erythrocytes,eye,fast.muscle,fin.epithelia,fin.mesenchyme,glial,gut,heart,immune,ionocyte,iridophores,lateral.line,liver,melanocytes,mesenchyme,mucous,mural.cell,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,pericytes,periderm,presomitic.mesoderm,pronephros,somites,spinal.cord,vascular.smooth.muscle,vasculature,visceral.smooth.muscle,xanthophores
  3-4,27.88,157.57,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,0,88.28,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,78.17,13.97,0,0,34.94,0,0,0,0,0,0,0,0,0,0
 10-12,0,0,0,6.14,5.31,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,53.8,0,0,0,27.15,0,0,0,12.47,0,3.28,0,0,0,0
 14-21,0,0,3.41,2.03,0,0,0,0,1.41,0,0,0,0,0,0,0,0,0,0,0,7.09,19.67,0,0,0,0,0,0,0.9,0.89,2.48,14.07,0,0,0,0
 24-34,0,0,3.52,1.22,10.05,0,0,0,2.74,0,0,0,0,0,0,0,0,5.54,0,0,5.18,95.02,0,0,2.91,0,0,1.71,0,1.08,0,15.82,0,0,0,0
 36-46,0,0,0,0,10.91,0,0,0.65,3.94,0,0.9,9.07,0,0,0,0,0,9.62,0,0,2.55,100.45,0,0,0.58,0,0,1.08,0,0,0,24.3,0,2.41,0,0.82
 48-58,0,0,2.86,0.45,27.02,1.83,2.85,0.44,5.4,0,0.42,0,0,0,0,3.72,0,11.5,0,0,1.66,117.28,0,0.48,0,0,0.39,2.99,0,0,0,23.94,0.64,1.72,0,0.99
 60-70,0,0,0.6,0,62.93,0,0,0,4.93,0.85,0,0,0,4.72,0,0,6.77,17.11,0,0.7,0.6,134,0,1.03,0,0,0,0,0,0,0,16.73,4.5,0.73,0,0
 72-82,0,0,1.65,0,51.39,0,0,0.49,13.49,0.99,0,0,0,0,0,1.08,0,13.72,0,0,0.58,82.9,0,0.53,0,0,0,0,0,0,0,7.27,0.49,2.77,0,0
 84-94,0,0,0,0,28.66,0,0.62,1.69,7.37,0,0,5.06,0,0,0,0.82,0,6.16,0.57,2.99,0,73.3,2.3,0,0,0,0,0.84,0,1.04,0,0,0,0,4.51,0
 96-106,0,0,1.52,3.01,32.28,2.9,0,0,14.58,0,1.03,0,0.8,0,0,0,0,15.94,0,1.17,0,49.73,0.61,0.87,0.77,0,0,0.6,0,0,0,7.37,0,0,0,0
108-118,0,0,4.15,0.5,17.81,0,0,0,4.39,0.68,0,0,0,2.1,3.58,0,0,12.29,0,0,0,72.27,0,0,5.59,0,0,1.31,0,0,0,0,0,2.27,0,1.02
120,0,0,9.3,0,72.75,0,3.08,0,17.66,0,0,2.07,0,0,1.6,0,0,15.18,0,0,2.18,182.24,0,0,2.25,0,0,1.24,0,0,0,0,0,0,0,0
