stage,epidermis,eye,fin.epithelia,fin.mesenchyme,glial,immune,lateral.line,mesenchyme,neural,olfactory,otic,periderm,spinal.cord
  7-9,0,0,0,0,0,0,0,0,5.51,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,3.7,0,0,0,0
 14-21,0,0,0,0,0,0,0,0,0.97,0,0,0,1.46
 24-34,0,0,0,0,0,0,0,0,3.67,0,0,0,6.58
 36-46,0,2.63,0,0,0,0,0,0,13.73,0.81,0,0.64,10.15
 48-58,0,0,0,0,0,0,0,0,22.35,0,0,0,0.75
 60-70,0,14.15,0,0,0,0,0,0,29.01,0,0.63,0,1.96
 72-82,0,29.07,0,0,0.79,0,1.05,0,40.01,0,0.51,1.48,6.33
 84-94,0,9.09,0.75,2.76,0,0.8,0,0,31.44,0,0,0,0.77
 96-106,0,13.54,0,0,0.8,0,0,0,28.96,0,0,0,0
108-118,0,5.74,0.66,0,1.5,0,0,5.18,24.02,0,0,0,2.64
120,1.77,14.88,0,0,5.28,0,0,4.26,50.19,0,0,0,0
