stage,axial,blastomeres,endocrine.pancreas,endoderm,epidermis,erythrocytes,exocrine.pancreas,eye,fast.muscle,fin.epithelia,fin.mesenchyme,glial,gut,hatching.gland,heart,immune,ionocyte,iridophores,lateral.line,liver,melanocytes,mesenchyme,mucous,mural.cell,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,periderm,presomitic.mesoderm,pronephros,slow.muscle,somites,spinal.cord,taste,vascular.smooth.muscle,vasculature,visceral.smooth.muscle,xanthophores
  3-4,0,30.65,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,27.27,0,0,0,0,0,0,0,0,0,0
  5-6,6.84,54.93,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,169.72,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,0,0,0,0,0,0,0,0,3.85,0,0,0,0,0,0,0,0,0,0,0,33.24,0,0,0,20.78,29.04,0,0,0,0,0,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,109.08,0,0,0,84.37,19.74,0,0,0,0,0,0,0,0,0,0
 14-21,0,0,0,1.01,202.14,0,0,0,0,0,0,0,0,0,0,0,12.6,0,0,17.29,0,2.09,4.83,0,0,13.4,0,0,0.81,0,791.06,8.4,0,0,0,0,0,0,0,0,0
 24-34,0,0,0,0.71,894.5,0,0,13.18,0,48.22,0,0,0.63,0,1.36,0,179.51,0,0,13.91,0,11.62,59.39,0.69,5.47,203.68,0,0,0,0,3835.01,0,1.04,2.19,0.62,18.24,0,0,11.07,0,0
 36-46,0,0,0,0,669.44,0,0,10.37,0,193.59,0,1.1,0,0,0,0,192.42,0,0,3.53,0,10.09,62.21,0,0.69,98.82,2.73,0,0,0,3810.67,0,0,0,0,11.49,0,0,5.49,0,0
 48-58,0,0,0,0,1006.43,5.4,0,43.7,0,259.45,0,4.76,0,1.19,0,0,93.66,0,0,15.2,4.03,8.14,51.14,0,2.64,141.13,0,3.88,0,0,2808.06,0,0,0.45,0,29.88,0,0,2.53,0,5.34
 60-70,0,0,0,0,916.44,0.75,0,40.86,0,186.87,0.63,2.13,0,0,0,7.96,81.39,0,0,0,0,10.63,57.45,8.24,0.8,76.69,0,1.42,0,0,2156.2,0,0,0,0,7.65,0,0,0,0,0
 72-82,0,0,0,0,816.7,5.87,0,57.42,0.95,216.92,0,8.1,0.59,0,1.6,1.49,93.29,0,0,1.03,0,44.44,77.94,0.64,3.48,85.07,0,2.07,1.43,0,1461.48,0,0,0,0,8.87,2.33,0.81,0,1.84,0
 84-94,0,0,0,0,1278.37,2.5,0,19.57,0,366.72,1.19,3.92,2.73,0,0,1.56,144.15,3.9,0.78,0,0,31.17,120.81,2.28,2.93,50.5,0,0,0.92,0,3252.73,0,0,0,0,4.39,1.17,0,0,1.64,8.82
 96-106,0,0,0.89,0,1326.72,4.75,0,79.48,0.61,346.37,1.52,13.98,0.7,0,0,2.78,149.22,0.74,0,4.84,0,41.49,135.5,4.1,0,93.55,0,1.07,3.22,0,2504.34,0,0,0,0,7.52,0,0,1.25,2.54,7.18
108-118,0,0,0,0,1370.64,5.6,1.05,20.28,0,560.86,2.81,14.9,0.73,0,2.95,1.15,126.18,1.18,1.38,0,0,31.1,105.31,1.76,0.8,78.64,4.75,0,0.56,0,2005.6,0,0,0,0,0,0,0,4.36,0,7.84
120,0,0,0,0,1027.82,0,0,0,0,340.78,0,0,1.79,0,0,0,78.99,0,0,0,0,27.3,93.29,0,1.25,60.74,0,0,1.33,0,1107.7,0,0,0,0,0,0,0,0,0,0
