stage,blastomeres,epidermis,erythrocytes,exocrine.pancreas,eye,fin.epithelia,glial,gut,heart,immune,ionocyte,iridophores,lateral.line,liver,mesenchyme,mucous,mural.cell,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,pericytes,periderm,presomitic.mesoderm,somites,spinal.cord,vascular.smooth.muscle,vasculature,xanthophores
  3-4,43.36,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,55.36,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,15.56,0,0,0,0,0,0,0,0,0,0,0,0,0,41.66,0,0,0,16.1,0,0,0,0,0,0,0,0
 10-12,3.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,53.17,0,0,0,16.26,0,0,0,0,0,0,0,0
 14-21,0,0.84,0,0,0.81,0,1.38,0,0,0,0,0,0,0,2.49,0,0,0,12.32,0.85,0,0,0,0,2.1,0.85,0,5.73,0,0,0
 24-34,0,0.76,0,0,2.95,1.45,0,0,0,0,0,0,0,0,4.87,0,0,0,42.38,0,0.63,0.74,0,0,0.85,0,1.29,11.1,0,0,0
 36-46,0,0,0,0,6.55,0,0.97,0,0,0,0,0,0,0,3.72,0,0,0.6,68.77,0,1.14,0,0,0,10.49,0,0,13.91,0,0,0
 48-58,0,3.69,0,0,13.47,2.25,2.99,0,0,0,0,0,0.37,0,10.02,0,1.17,1.02,49.41,1.94,0,0,0,0,9.41,0,0,7.59,0,1.17,0
 60-70,0,0.6,0,0,18.1,0,6.92,0,0.66,0,0,0,0,0,12.9,0,1.04,0.84,36.85,0,0,1.84,0,0,13.43,0,0,2.33,0,5.36,9.38
 72-82,0,0.61,0,0,42.27,2.19,0.59,0,0.91,2.3,0,0,1.2,0,10.91,0,0,0,26.99,0,2.23,0,0,0,2.57,0,0,5.71,0,2.55,0
 84-94,0,0.58,8.82,0,5.99,0,5.45,0,0,0,0,0,0,0,7.63,0,0,0,47.15,3.42,0,0,0,0,5.76,0,0,1,0.69,1.03,0
 96-106,0,3.29,0,0,27.99,0,4.97,1.29,0,6.62,0,2.28,0,0,5.44,0,0,0,53.95,0,0.61,0,0,1.37,16.76,0,0,0,0,6.82,0
108-118,0,1.2,1.93,3.45,5.71,2.82,0,0.61,0,0.47,0.45,0,0,0.45,5,0.71,0.72,1.53,13.41,0,0,0,0,0,9.02,0,0,2.81,0,6.14,0
120,0,22.15,9.17,3.13,5.52,0,2.66,0,0,2.29,0,0,0,0,0,0,0,0,16.68,0,2,0,0,11.51,10.03,0,0,5.23,0,0,0
