stage,blastomeres,endoderm,epidermis,eye,glial,hatching_gland,iridophores,lateral_line,mesenchyme,muscle,neural,otic,paraxial_mesoderm,somites,spinal_cord
  3-4,19.88,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,35.63,0,0,0,0,0,0,0,0,0,7.38,0,0,0,0
  7-9,0,11.95,0,0,0,0,0,0,0,0,63.19,0,13.57,0,0
 10-12,0,4.47,0,9.48,0,3.05,0,0,0,0,36.35,0,7.14,0,0
 14-21,0,0,0,0,8.82,0,0,0,0,1.21,66,0,0,2.94,46.51
 24-34,0,0,1.28,2.59,7.44,0,0,0,0,0,144.77,0,0,0,71.81
 36-46,0,0,1.07,12.51,17.69,0,0,0,0,0,144.21,0,0,0,42.35
 48-58,0,0,0,24.21,15.56,0,0,0,0,0,121.39,0,0,0,25.23
 60-70,0,0,0,66.48,27.91,0,0,0,0,0,74.26,0,0,0,20.82
 72-82,0,0,0,56.59,18.25,0,0.64,0,5.96,0,30.93,0,0,0,1.4
 84-94,0,0,0,30.35,10.22,0,4.06,0,0,0,38.2,0,0,0,3.35
 96-106,0,0,0,48.83,13.55,0,0,0,0,0,46.19,1.5,0,0,1.91
108-118,0,0,0,55.45,6.26,0,0,0,0,3.47,33.06,0,0,0,0
120,0,0,4.94,53.04,10.3,0,0,1.88,5.08,0,23.77,0,0,0,7.84
