stage,axial,blastomeres,endocrine_pancreas,endoderm,epidermis,erythrocytes,exocrine_pancreas,eye,fast_muscle,fin_epithelia,fin_mesenchyme,glial,gut,hatching_gland,heart,immune,ionocyte,iridophores,lateral_line,liver,melanocytes,mesenchyme,mucous,mural_cell,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,pericytes,periderm,pgc,presomitic_mesoderm,pronephros,slow_muscle,spinal_cord,taste,vascular_smooth_muscle,vasculature,visceral_smooth_muscle,xanthophores
  3-4,0,76.11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14.6,0,0,0,0,0,0,0,0,0,0
  5-6,0,88.65,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,3.67,0,0,10.81,0,0,0,13.22,0,0,0,0,0,6.86,0,0,0,0,0,0,0,0,0,0,0,24.66,3.78,0,0,31.55,0,0,7.58,0,0,0,0,0,0,0,0,0
 10-12,0,3.32,0,11.68,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,86.66,0,0,0,4.85,0,0,0,3.57,5.88,0,0,0,0,0,0,0
 14-21,0,0,0,0,1.98,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.01,0,0,0,25.82,0,0,0,0,0,0,0,0.83,0,0,4.99,0,0,2.17,0,0
 24-34,0,0,0.61,0,0.64,0,0,5.26,0,1.11,0,0,0,0,0,0,0.64,0,0,0,0,7.22,0,0,1.34,101.5,0,0,0.69,0,0,0,0,0,0,0,14.2,0,0,4.47,0,1.19
 36-46,0,0,0,0,2.03,0,0,9.24,0,0,0,4.76,0,0,0.73,0,0,0,0,0,13.11,12.94,0,0,1.9,80.98,0,3.55,0,0,0,0,0,0,0,0,21.01,0,0,1.61,0,0
 48-58,0,0,0,0,0.38,0,0,42.43,6,0,0,14.27,0.38,0,0,0.45,0,0,0,0,0.51,11.44,0,0,0.85,98.5,0,0.64,0.59,0,0,3.39,0,0,0.53,1.03,20.01,0,0,2.71,0,6.53
 60-70,0,0,0,0,0,0,0,85.39,0,0,0,23.34,0,0,0,0,0.58,0,0,0,0,24.51,0,0,0,84.32,0,1.72,2.12,0,0,0,0,0,0,0,16.72,0,0.73,1.29,0,0
 72-82,0,0,0.62,0,0.69,1.13,0,69.99,0,0,2.56,12.92,0,0,0,0.54,0,0.52,0,0,0,29.89,6.51,0,0.58,100.04,0,1.19,0,0,0,2.19,0,0,0,0,8.47,0,0,6.84,1.28,2.54
 84-94,0,0,0,0,3.48,3.07,0,60.78,0,0,0,11.31,0,0,0,3.9,0.55,0.68,0,0,2.48,54.95,0,0.92,0,79.12,0,2.17,1.98,0,0,1.48,0,0,0.76,0,1.08,5.01,0,4.13,0,1.06
 96-106,0,0,0,0,2.47,1.17,0,71.35,0,0,0,4.69,0,0,1.57,3.57,0,1.5,3.7,1.52,0,39.06,0,0,2.61,71.04,0,2.27,1.2,0,2.01,6.89,0,0,0,0,0,0,0.92,2.57,0,0
108-118,0,0,0,0,2.39,1.11,0.5,76.16,2,1.04,1.25,4.9,0.47,0,0.78,0.93,0,0.97,0,0,1.34,32.96,0,1.21,0.54,74.37,0.62,0,1.15,0,0,5.61,0,0,0.62,3.63,4.76,0,0.88,9.55,0,0.6
120,0,0,0,0,3.71,1,0,65.16,0,0,0,14.94,1.55,0,0,9.94,0,0,0,0,0,20.58,0,0,1.86,130.44,0,0,0,0,0,21.28,0,0,0,0,0,0,5.29,3.45,18.94,0
