stage,axial,blastomeres,endocrine.pancreas,endoderm,epidermis,erythrocytes,eye,fin.epithelia,fin.mesenchyme,glial,gut,immune,mesenchyme,mucous,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,pericytes,periderm,presomitic.mesoderm,slow.muscle,somites,spinal.cord,taste,vasculature
  3-4,12.69,31.92,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,0,168.06,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9.15,0,0,0,0,0,0,0,0
  7-9,0,16.82,0,0,0,0,20.93,0,0,0,0,0,0,0,0,162.55,0,0,0,82.19,0,5.76,0,0,0,0,0,0
 10-12,0,0,0,13.62,0,0,0,0,0,0,0,0,0,0,0,159.99,0,0,0,50.02,0,0,0,0,0,0,0,0
 14-21,0,0,0,0,10.34,4.58,1.75,0,0,0,0,0,0,0,0.9,19.64,0.89,0,1.02,0,0,1.84,4.23,0.87,3.75,8.48,0,0
 24-34,0,0,0,0,5.45,0,0,0,0,0,0,0,0,0,1.59,4.04,0,0,0,0,0,9.73,0,0,0,3.16,0,0
 36-46,0,0,0,0,5.54,0,0,0,0,0.8,0,6.97,3.41,0,0,5.76,6.75,0.63,0,0,0,4.05,0,0,0,1.18,0,0
 48-58,0,0,0,0,4.49,0,0.52,1.97,0,1.52,0,0,0,0,1.9,14.19,0,0,0,0,0,6.9,0,0,0,5.9,0,0
 60-70,0,0,0,0,11.69,0,1.88,2.98,0,0,0,0,0,0,0,13.42,0,0,0,0,0,9.22,0,0,0,1.79,0,0
 72-82,0,0,0,0,3.84,0,5.7,0,0,2.09,0,0,2.86,0,0,19.11,0,0,0,0,0,2.78,0,0,0,0,0.81,1.02
 84-94,0,0,0,0,3.16,0,3.22,1.43,0,0,0,0,2.38,0,0,11.08,0,0,0,0,0,11.09,0,0,0,0.78,0.78,0
 96-106,0,0,1.04,0,4.1,0,15.13,0,0,3.47,1.11,0.89,0,0,0,5.06,0,0,0,0,0,2.1,0,0,0,3.98,0,0
108-118,0,0,0,0,5.34,0,0.9,1.12,1.79,0.93,0,4.34,0,0,0,4.5,0,0,0,0,1.1,4.05,0,0,0,0,0,0
120,0,0,0,0,4.42,0,0,1.28,0,0,5.1,0,2.3,1.12,0,19.04,0,0,0,0,0,10.98,0,0,0,0,6.72,0
