stage,blastomeres,endocrine.pancreas,endoderm,epidermis,exocrine.pancreas,eye,fin.mesenchyme,glial,gut,hatching.gland,mesenchyme,muscle,neural,olfactory,otic,paraxial.mesoderm,periderm,pronephros,spinal.cord,visceral.smooth.muscle
  5-6,24.14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9.92,0,0,0
  7-9,0,0,0,0,0,0,0,0,0,3.46,0,0,8.47,0,0,6.66,0,0,0,0
 10-12,0,0,14.54,0,0,5.52,0,0,0,3.57,0,0,56.35,0,0,7.72,0,11.67,0,0
 14-21,0,0,0,0,0,0,0,0,0,0,0,0,1.02,0,0,0,0,1.76,2.1,0
 24-34,0,0,0,0,0,1.63,0,0,0,0,0,2.36,30.22,0.78,0,0,0,0.94,5.59,0
 36-46,0,0,0,0,0,8.06,0,1.43,0,0,0,0,39.89,1.92,0,0,0,0.86,7.62,0
 48-58,0,0,0,0,0,12.96,0,3.08,0,0,0.72,0,26.62,0.85,0.48,0,0,6.1,3.05,0
 60-70,0,0,0,0,0,20.54,0,1.24,1.88,0,0.67,0,8.67,0,0,0,0,0,3.99,0
 72-82,0,1.37,0,0,0,17.32,0,2.16,7.78,0,3.71,0,15.24,0,0,0,0,0.63,1.55,0
 84-94,0,0,0,0.61,0,6.65,1.75,0.86,22.06,0,0.75,0,33.26,0.93,0,0,0,0.57,0,1.25
 96-106,0,0,0,1.34,0,14.22,0,3.65,9.88,0,0,0,24.09,0,1.8,0,0,0,0,0
108-118,0,0.76,0,0,0,2.34,0,10.4,17.31,0,1.24,0,19.97,0,0,0,0,3.07,0,0
120,0,0,0,0,1.71,24.95,0,8.9,13.54,0,6.43,0,36.64,0,0,0,0,0,2.31,0
