stage,axial,blastomeres,endocrine.pancreas,endoderm,epidermis,eye,fin.mesenchyme,glial,gut,ionocyte,lateral.line,mesenchyme,mucous,mural.cell,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,periderm,presomitic.mesoderm,pronephros,spinal.cord,vascular.smooth.muscle
  3-4,0,9.36,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,3.21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14.7,0,0,0,0,0
 10-12,0,0,0,6.57,0,0,0,0,0,0,0,0,0,0,0,100.39,8.92,0,0,15.22,0,0,0,0,0
 14-21,0,0,1.23,0,0,0,0,0.88,0,0,0,3.15,0,0,0,13.09,0,0,2.15,0,0,0.91,6.28,20.61,0
 24-34,0,0,0,0,0,5.12,0,7.65,0,0,0,5.18,0,0,0,15.42,0,5.85,0.64,0,0,0,0.66,19.01,0
 36-46,0,0,0,0,0,0,0,17.94,0,0,0,4.48,0,0,0,37.9,0,8.1,0,0,0,0,2.31,27.55,0
 48-58,0,0,0,0,0,2.34,1.32,17.63,0,0.61,0,5.45,0,0,0,4.83,0,1.35,0.82,0,0,0,1.9,25.46,0
 60-70,0,0,0,0,0,0,0,6.94,0,0,0,1.49,1.53,0,0,11.33,0,1.1,0,0,0,0,4.67,5.41,0
 72-82,0,0,0,0,1.13,0,0,22.84,0,0,1.45,3.84,0,0,0,2.29,0,7.79,0.52,0,0,0,0,2.74,0
 84-94,0,0,0,0,0,6.62,0,8.29,0,0,0,4.09,0,0.71,1.26,0,0,16.63,4.79,0,0,0,0,8.01,0
 96-106,0,0,0,0,0,0.6,0,6.29,0,0,1.29,1.34,0,0,0,2.95,0,0,1.16,0,0,0,0,6.1,0
108-118,0,0,0,0,0,0,0.6,3.08,0.63,0,2.29,2.46,0,0,0,3.05,0,2.28,0,0,3.03,0,0.46,5.05,1.13
120,0,0,0,0,0,0,0,13.32,0,0,4.83,3.79,0,0,0,3.55,0,0,0,0,0,0,0,1.34,0
