stage,blastomeres,endocrine.pancreas,epidermis,erythrocytes,exocrine.pancreas,eye,fast.muscle,fin.epithelia,fin.mesenchyme,glial,gut,hatching.gland,heart,immune,ionocyte,iridophores,lateral.line,liver,melanocytes,mesenchyme,mucous,mural.cell,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,pericytes,periderm,pgc,presomitic.mesoderm,pronephros,slow.muscle,somites,spinal.cord,taste,vascular.smooth.muscle,vasculature,visceral.smooth.muscle,xanthophores
  5-6,14.77,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.6,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12.18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
 10-12,0,0,0,0,0,3.55,0,0,0,0,0,6.55,0,0,0,0,0,0,0,0,0,0,0,17.68,0,0,0,4.07,0,0,0,0,0,0,0,0,0,0,0,0,0
 14-21,0,0,12.31,0,0,1.3,0,0,0,1.25,5.34,0,0.81,0,0,0,2.61,0,0,0.92,0,0,1.13,35.71,0,0,0,0,0,1.04,0,1.75,1.32,0.88,8.43,29.02,0,0,0,0,0
 24-34,0,0,7.55,0,0,2.98,0,3.01,0,3.56,0,0,1.2,0,0.62,0,45.12,0,0.62,9.75,0,0,0.76,139.09,0,22.3,8.7,0,0,2.71,0,0,0.82,0,0.66,29.04,0,0,6.55,0,0
 36-46,0,0,16.74,0,0,8.74,0,0,0,11.14,0,0,3.33,0,0,0,22.56,0,0,65.18,0,0,0.88,490.73,0,44.23,0.57,0,0,7.21,0,0,1.33,0,0,47.87,0,0,36.34,0,0
 48-58,0,0,25.68,0,0,57.14,0.57,1.97,0,10.27,0,0,2.67,0,4.03,0,33.17,0,1.57,61.32,0,1.67,1.07,622.44,0,34.56,4.65,0,0.61,2.93,0,0,2.41,1.29,0,67.32,0,0,63.26,0,0
 60-70,0,0,1.15,0,0,97.44,0,10.73,0,42.34,0,0,17.81,0,0,0,39.35,0,0,89.07,0,0,0,553.17,0,15.83,13.02,0,4.85,12.94,0,0,3.08,1.48,0,40.3,0,0,75.04,0,2.83
 72-82,0,2.58,3.95,0,0,166.64,0,0,1.73,99.78,2.23,0,22.66,1.44,0,2.56,53.58,0,1.18,109.65,0,1.79,2.97,613.01,0,24.8,33.52,0,2.66,4.69,1.65,0,3.17,0,0,36.57,2.31,0.63,135.27,0,0
 84-94,0,2.68,8.55,0.85,0,147.05,0,0,0,129.75,0,0,10.27,1.38,5.28,0.64,60.7,0,0,58.59,0,2.12,0.68,421.49,0,17.98,30.88,0,8.71,4.55,0,0,1.54,0,0,13.94,0,1.67,62.55,0,0
 96-106,0,0,7.34,0,0.97,179.6,0,0.56,3.06,133.95,0,0,5.6,1.66,0.77,2.6,119.25,0,0,104.03,1.34,4.02,3.64,404.31,0,21.58,31.19,0,14.21,10.75,0,0,1.28,0,0,6.61,0,0,131.16,2.23,0
108-118,0,0,12.22,12.51,0,172.78,0,1.05,0,122.89,0,0,5.34,0.52,16.33,0.53,89.81,0.45,0,80.78,0,11.54,1.33,469.46,0.5,30.06,30.99,0,12.5,9.86,0,0,1.76,0,0,12.43,1.17,0,75.49,0,0
120,0,0,12.63,0,0,130.51,0,7.56,0,69.52,1.68,0,2.95,2.62,3.6,0,73.66,0,0,70.72,0,0,6.42,750.26,3.31,16.2,5.85,0,9.21,15.58,2.5,0,0,0,0,14.57,0,0,103.34,0,0
