stage,blastomeres,endoderm,epidermis,erythrocytes,eye,fin.epithelia,glial,gut,heart,ionocyte,lateral.line,liver,melanocytes,mesenchyme,mucous,muscle,neural,notochord,otic,paraxial.mesoderm,pericytes,periderm,pgc,spinal.cord,taste,vasculature
  3-4,15.34,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,6.71,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.36,0,0,0,0,0,0
 10-12,0,7.46,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.66,14.52,0,0,0,0,0,0,0,0
 14-21,0,0.86,2.47,0,0,0,0,0,0,0,0,16.2,0,0,0,0,0,2.85,0,0,0,0,0,0,0,1.71
 24-34,0,0,0,0,0,0,0,0,0,0,0,18.45,0,0,0,0,1.32,0,0,0,0,0,0,0,0,0
 36-46,0,0,0,0,0,0,0,0,0,0,0,23.06,0,0,0,0,0.85,0,0,0,0,0,0.81,0,0,0
 48-58,0,0,0,0,0,0,0,0,0,0,0,13.3,5.12,0,0,0,0,1.21,0,0,0,0,0,0,0,0
 60-70,0,0,1.02,0,2.85,0,0,0,0,0,0,2.19,0,1.83,0,0,9.83,6.13,0,0,0,0,0,0,0,0
 72-82,0,0,0,0,4.5,0,0.7,0,0,0,0,17.72,0,6.14,0,1.03,18.61,0,0,0,2.41,0,0,0,0.97,0
 84-94,0,0,7.33,0,1.87,0,0,0,0,0,0,58.76,5.76,8.6,0,2.86,17.59,1.12,0.96,0,0,0,0,0,0,0
 96-106,0,0,0,0,12.16,2.45,0.97,0.59,0,0.68,0,261.17,0,4.15,1.11,0.66,33.59,0,1.58,0,0,21,3.82,2.85,0,5.19
108-118,0,0,0.44,0.99,9.08,0.45,0,0,0,0.45,0,485.87,1.13,8.5,0,0.85,44.01,0.51,0,0,0,0.81,0,0,0,1.08
120,0,0,9.18,0,11.44,0,0,0,5.18,5.83,5.32,375.67,0,5.39,0,0,51.36,0,0,0,0,0,0,0,0,0
