stage,blastomeres,exocrine.pancreas,eye,glial,gut,immune,lateral.line,melanocytes,mesenchyme,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,periderm,slow.muscle,spinal.cord
  3-4,13.58,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,0,0,0,0,0,13.73,6.18,0,0,10.05,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,0,6.54,0,0,0,0,0,0,0
 14-21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.88
 24-34,0,0,0,0,0,0,0.78,0,0,0,2.53,0,0,2.35,0,0,0,0
 36-46,0,0,0,0,0,0,0,0,0,0,0.76,0,0,1.4,0,0,0,0
 48-58,0,0,0,0,0,0,5,4.05,1.17,0,2.06,0,0,0.41,0,0,0,0
 60-70,0,0,0,0,0,0,9.07,0,0,0,2.98,0,0,5.34,0,0,0,0
 72-82,0,0,0.61,0.57,0.7,0,34.39,0,1.27,1.31,6.25,0,0,10.67,0,0.71,0,0
 84-94,0,0,2.11,0,0,0,27.04,0,1.27,0,0,0,0.8,2.74,0,0,0,0
 96-106,0,3.86,0,0,0.85,0.78,37.53,0,1.22,0,3.1,0,0,1.71,0,0.87,0,0
108-118,0,0,2.55,0,0,0,47.3,0,0.94,0,7.98,0,4.93,19.64,0,0.58,0,0
120,0,0,0,0,0,0,64.32,0,0,0,8.08,0,0,5.84,0,0,1.21,0
