stage,epidermis,erythrocytes,eye,fin.mesenchyme,glial,gut,immune,lateral.line,mesenchyme,mucous,mural.cell,muscle,neural,olfactory,otic,pericytes,periderm,slow.muscle,spinal.cord,taste,vascular.smooth.muscle,vasculature,visceral.smooth.muscle
  7-9,0,0,4.09,0,0,0,0,0,0,0,0,0,10.27,0,0,0,0,0,0,0,0,0,0
 24-34,2.56,0,0,0,0,0,0,0,0.83,0,0,1.76,2.76,3.89,0,0,0,0,0,0,0,0,0
 36-46,0,0,4.99,0,0,0,0,0,14.44,0,0,0.87,12.23,2.81,0,0,0,0,2.12,0,0,3.35,0
 48-58,0,0,85.73,0,3.62,0,0,0,9.97,0,0,8.32,27.41,0.43,0,0,0,0,18.62,0,0,0.87,0
 60-70,0,0,390.65,0,0,0,0,0,17.97,0,0,10.2,45.8,0,0,0,0,0,18.88,0,0,0,0
 72-82,3.19,4.65,204.24,0,1.65,0,0,0,36.52,0,0.92,6.3,8.91,0,0,0,0,0,4.1,0.92,0,1.59,1.86
 84-94,13.43,0,292.73,0.75,0,0,0,2.1,50.19,3.42,2.93,4.84,36.89,0,0,0,2.9,0,5.39,0,0,0.66,2.72
 96-106,3.84,0,190.63,0,0.94,0,0,0,41.31,0,1.32,2.7,2.89,0,0,2.4,0,0.6,3.24,0,1.15,1.61,1.69
108-118,11.29,0,204.31,0,1.09,0.85,0.99,0,58.74,0,7.08,1.7,9.24,0,0,2.99,0,0,1.01,1.64,0,2.31,6.24
120,8.73,0,148.06,0,2.84,0,0,0,22.25,0,2.13,0,13.27,0,3.16,0,0,0,11.59,0,0,0,6.92
