stage,blastomeres,endocrine.pancreas,endoderm,epidermis,erythrocytes,exocrine.pancreas,eye,fast.muscle,fin.epithelia,fin.mesenchyme,glial,gut,hatching.gland,heart,immune,ionocyte,iridophores,lateral.line,liver,mesenchyme,mucous,mural.cell,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,periderm,presomitic.mesoderm,pronephros,slow.muscle,spinal.cord,taste,vascular.smooth.muscle,vasculature,visceral.smooth.muscle,xanthophores
  5-6,52.14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8.03,0,0,0,0,0,0,0,0,0,0,0,0,0,0
 10-12,0,0,0,0,4.44,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,33.72,0,0,0,9.83,29.01,0,0,0,0,0,0,0,0,0
 14-21,0,0,0,1.06,1.41,0,0.86,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.82,3.67,1.08,0,0,0,513.41,0.91,0,0,0,0,0,0,0,0
 24-34,0,0,0,1.45,1.3,0,3.19,0,0.92,0.99,1.43,0,0,0,3.83,3.32,0,0,0,3.05,11.37,0,4.34,104.93,0,0,0,0,972.98,0,0,0,13.2,0,0,1.49,0,0
 36-46,0,0.95,0,1.35,0,0,7.08,0,0.57,0,1.5,0,0,0,0,1.92,0,0,0,2.85,53.1,1.12,1.7,56.99,9,0.57,0,0,1325.4,0,0,0,7.44,0,0,0,0,0
 48-58,0,0,0,0,0,0,23.09,0,8.64,3.42,2.99,3.51,4.31,0,0,17.48,0,0,0,7.01,67.82,0,4.65,61.6,0,1.29,0,0,1161.73,0,0,0,9.26,0,0,2.74,0,0
 60-70,0,3.43,0,2.3,0,0,12.13,0,18.41,0,1.5,17.13,1.71,0,0,0.58,0,4.28,0,11.77,49.62,0,0,55.68,0,0,0,0,1408.49,0,0,0,10.45,0,0.59,0,0,8.92
 72-82,0,44.17,0,6.57,0.77,0,67.37,0,25.46,0,13.47,96.73,0,0,0,9.07,0,17.62,1.23,19.13,151.7,0,4.83,128,0,0.75,2.57,0,1740.69,0,0,0,5.25,4.63,1.63,1.24,1.45,0
 84-94,0,47.55,6.61,17.93,10.37,0,5.93,0,69.84,2.34,13.54,164.3,0,0,1.36,36.21,0,12.42,5.88,26.36,153.15,0,1.33,90.78,0,0,0.73,0,4923.03,0,0,1.43,0,12.29,0.88,6.29,0,0
 96-106,0,79.48,11.74,29.51,8.35,0,75.14,0,59.58,0,16.74,267.57,0,1.42,6.05,33.86,11.2,45.97,18.87,30.89,219.24,0,1.75,184.46,0,0.85,5.48,0,3316.77,0,0,0,13.11,54.19,1.21,9.97,3.91,13.66
108-118,0,29.36,16.57,41.32,6.21,3.03,23.22,0.46,92.59,1.75,13.81,345.91,0,1.59,1.84,39.33,1.02,24.05,25.08,38.06,155.31,2.92,1.57,141.55,0,0,0,0,3309.62,0,1.95,0,10,56.5,4.23,3.96,0,0
120,0,107.86,17.79,55.56,3.27,1.58,9.24,0,26.61,0,9.13,328.76,0,0,7.03,11.85,0,8.56,22.19,20.04,75.1,0,4.34,81.19,5.19,0,19.6,0,1181.78,0,0,0,11.96,14.71,0,2.6,3.15,0
