stage,blastomeres,endoderm,epidermis,erythrocytes,eye,fast.muscle,fin.epithelia,glial,gut,heart,immune,ionocyte,iridophores,lateral.line,mesenchyme,mucous,mural.cell,muscle,neural,notochord,olfactory,otic,periderm,pronephros,slow.muscle,somites,spinal.cord,vascular.smooth.muscle,vasculature,visceral.smooth.muscle,xanthophores
  3-4,75.86,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,3.91,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18.68,0,0,0,0,0,0,0,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,28.86,0,0,0,0,0,0,0,0,0,0,0,0
 14-21,0,0,1.92,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9.23,0,0,0,0,0,0,2.77,0,0,6.4,0,0
 24-34,0,0,1.3,0,17.38,0,0,0,0,0.62,0,0,0,0,3.31,0,0,0,64.41,0,0,21.64,7.29,0,0.66,0,0.88,0,73.75,0,0
 36-46,0,0,12.09,0,15.75,0,0,1.94,0,3.4,0,1.79,0,6.03,3.55,0,0,0,49.76,0,1.13,54.08,25.26,0,0,0,9.89,0,78.63,0,2.58
 48-58,0,0,1.23,0,21.19,0,0.4,0,0.39,0.6,0,0,0.46,2.65,2.1,0,0,0.41,54.81,0,0,25.63,9.6,0,1.09,0,3.82,0,90.21,0,0
 60-70,0,0,0.58,2.33,10.53,0,0.86,4.51,0,1.77,0,0.85,0,5.25,7.17,2.49,0,0,45.23,0.7,0,19.01,15.64,0,1.38,0,7.58,0,68.09,0,0
 72-82,0,0,0,0,18.89,0,0,16.48,0,4.15,0,0,0,18.2,3.59,0,0,0,48.76,1.67,0,60.68,17.11,0,0,0,6.94,0,115.34,0,0
 84-94,0,0,5.48,0,22.29,0.72,4.19,3.98,0,0.97,0,0.58,0,5.69,6.96,0,0,0,12.02,0.6,0,37.72,26.18,0,2,0,0,0,103.59,1.89,0
 96-106,0,0,11.05,3.81,22.21,2.37,2.27,13.43,0,0.99,0.64,0,0,36.56,5.68,0,4.02,0,8.51,0,0,55.6,20.09,0,9.65,0,0,0,133.36,2.36,0
108-118,0,0,19.33,0.52,41.2,0.64,3.82,26.3,0,3.23,0.42,0.8,0,14.01,8.27,0,0,1.99,37.97,1.46,0.46,56.26,21.28,0.44,0.56,0,1.38,1.35,64.69,0,0
120,0,0,4.32,2.87,10.23,0,0,0,1.38,4.06,0,0,0,33.23,4.03,0,2.47,0,17.64,0,6.32,76.05,14.77,0,0,0,0,0,103.26,0,0
