stage,axial,blastomeres,endocrine_pancreas,endoderm,epidermis,erythrocytes,eye,fast_muscle,fin_epithelia,fin_mesenchyme,glial,gut,heart,immune,ionocyte,lateral_line,liver,mesenchyme,mucous,mural_cell,muscle,neural,olfactory,otic,paraxial_mesoderm,pericytes,periderm,pronephros,spinal_cord,taste,vascular_smooth_muscle,xanthophores
  3-4,36.76,568.57,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,39.57,0,0,0,0,0
  5-6,6.08,178.12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,27.28,0,0,0,0,0
  7-9,3.25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14.59,0,0,0,0,29.06,0,0,0,0,0
 10-12,0,0,0,3.13,0,7.97,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,147.69,0,0,6.22,0,26.52,4.54,0,0,0,0
 14-21,0,0,0,0,28.07,0,0,0,0,0,0,0.96,0,0,1.71,0,0,0,0,0,0,0.93,0.93,0,0,0,31.06,0,0,0,0,0
 24-34,0,0,1.29,0,24.11,0,0,0,1.67,0.67,0,0,0,0.8,5.21,1.57,0,0,0,0,0.67,22.76,8.55,0.99,0,0,154.58,0,1.7,0,0,0
 36-46,0,0,0,0,16.67,0,0,0,0.68,0,0,0.72,0,0,0.62,1.79,0,0,0,0.6,0,5.65,7.31,0,0,0,144.25,0,14.87,0,0,0.96
 48-58,0,0,0,0,16.52,0,1.15,0,1.12,0,1.45,0,0.51,0,0.8,1.75,0,0,1.76,1.65,0.78,7.17,5.3,0,0,0,96.09,0,0,0,0,0
 60-70,0,0,0,0,22.7,0,1.32,0,2.65,1.03,0,0,0,0,8.49,1.86,0,13.43,0.9,0,0,12.34,4.28,2.14,0,0,120.88,0.63,7.2,2.51,0,0
 72-82,0,0,0.93,0,8.76,0,1.07,0,11.45,0,0,2.44,0,0,3.35,2.25,0,23.68,0,0,0.56,2.74,7.86,0,0,0,48.55,0,0,3.59,0,0
 84-94,0,0,0,0,60.36,0.68,0,0.66,3.46,0,0,2.48,0,1.44,6.05,1.52,0,8.73,1.16,3.19,0,15.17,6.88,5.8,0,0,130.09,0,0,0,0,0
 96-106,0,0,0,0,25.74,0,11.85,0,5.27,0,0,1.3,0.62,0,8.33,8,7.59,27.36,0,5.79,0,3.13,20.35,14.03,0,2.14,99.29,0,4.77,1.95,1.58,0
108-118,0,0,0.83,0,18.01,0,0.58,0,4.72,0,2.35,2.1,0,0.93,5.28,1.77,0,22.8,0.96,4.74,0,4.85,7.04,1.65,0,0,89.92,0,0,3.81,0.84,0
120,0,0,0,0,41.4,0,17.04,0,3.81,0,0,1.21,1.85,2.32,0,12.16,0,2.57,0,13.03,0,28.54,3.55,0,0,0,83.12,0,0,4.79,0,0
