stage,axial,blastomeres,endoderm,epidermis,erythrocytes,eye,fin.mesenchyme,glial,gut,hatching.gland,immune,iridophores,lateral.line,liver,mesenchyme,mural.cell,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,pericytes,periderm,pronephros,slow.muscle,somites,spinal.cord,taste,vasculature,xanthophores
  3-4,0,35.65,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,30.78,0,0,0,0,0,0,0
  5-6,6.34,70.29,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8.7,0,0,10.04,0,0,0,0,0,0,0,0,0
  7-9,0,0,9.11,0,0,4.58,0,0,0,0,0,0,0,0,0,0,0,34.38,11.13,0,0,12,0,0,0,0,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,38.75,4.28,0,0,15.95,0,0,6.91,0,0,0,0,0,0
 14-21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.81,0,0,5.14,2.57,0,0,0,0,1.48,0,0,0,3.31,0,0,0
 24-34,0,0,0,0.64,0,2.59,0,1.08,0,0,0,0,0,0,0.71,0,0,45.27,0,0,0.98,0,0,0.63,0,0,0.67,1.64,0,0.79,0
 36-46,0,0,0,0,0,0,0.57,0,0,0,0,0,0,0,3.99,0,0,48.32,0,0,0,0,0,0.76,0,0,0,4.61,0,0,0
 48-58,0,0,0,0,0,6.39,0,21.33,0,2.1,0,0,0,0,0.88,0,0,130.83,0,0,0,0,0,0,0,0,0,6.13,0,0,0
 60-70,0,0,0,0,0.68,33.93,1.37,7.61,0,0.66,0,0,0,0,8.31,0,0,403.81,0,0,9.84,0,0,3.43,0,2.58,0,3.72,0,0,0
 72-82,0,0,0,0,1.9,65.15,0,14.54,1.33,0,0,0,0,0,8.19,3.96,0,618.01,0,0.55,0,0,0,0,0,0,0,8.77,0,2.4,12
 84-94,0,0,0,1.73,2.69,53.89,2.12,7.54,4.15,1.99,0,0,0,0,13.31,0,0,440.35,0,0,5.55,0,0,0,0,0,0,3.95,0,0,9.28
 96-106,0,0,0,0,8.79,56.48,0,7.02,2.28,0,2.41,0.92,0.97,2.19,4.4,0,0,318.52,0,0,0,0,0,4.79,0,0,0,9.9,0,0,5.99
108-118,0,0,0.74,0.44,0,57.43,0,5.67,1.82,0,0,0,0,0,7.63,2.24,4.04,490.85,0,0,0,0,0,0.44,0,0,0,1.59,1.4,0,0
120,0,0,0,0,0,109.68,0,7.83,0,0,1.91,0,0,0,5.62,0,0,910.75,0,0,0,0,1.79,0,0,0,0,0,0,0,0
