stage,epidermis,gut,ionocyte,iridophores,lateral.line,mesenchyme,muscle,neural,notochord,olfactory,periderm,somites,vasculature
 10-12,0,0,0,0,0,0,0,6.66,8.54,0,0,0,0
 14-21,0,0,0,0,0,0,0,1.66,0,0,0,1.07,0
 24-34,1.68,0,0,0,0,0,0,0,0,0,6.14,0,0
 36-46,0,0,0,0,0.72,0,0.56,0,0,0,13.62,0,2.41
 48-58,0,0,0,0,0,0,0,0,0,0,11.61,0,0
 60-70,4.18,0,0,0,0,0,0,1.48,0,0,8.84,0,0
 72-82,0,0,0,0,0,0,0,0,0,0,15.28,0,0
 84-94,0,0,0,0,0,0,0,0.71,0,0,8.63,0,0
 96-106,1.43,0,0,1.25,0,0,0,0,0,2.89,32.25,0,0
108-118,1.32,0,1.94,0,0,0.99,0.65,0,0,0,11.34,0,0.47
120,1.34,4.45,0,0,0,0,0,0,0,0,20.53,0,5.43
