stage,endocrine.pancreas,endoderm,epidermis,erythrocytes,eye,fast.muscle,fin.epithelia,fin.mesenchyme,glial,gut,hatching.gland,heart,immune,ionocyte,iridophores,lateral.line,liver,melanocytes,mesenchyme,mucous,mural.cell,muscle,neural,olfactory,otic,paraxial.mesoderm,pericytes,periderm,pgc,presomitic.mesoderm,pronephros,slow.muscle,somites,spinal.cord,taste,vasculature,visceral.smooth.muscle,xanthophores
  7-9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20.52,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,32.18,0,0,5.6,0,0,0,0,0,0,0,0,0,0,0,0
 14-21,0,0.94,2.78,0,2.23,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,18.66,0,0,0,0,0,0,3.18,0,0,7.45,8.37,0,0.95,0,0
 24-34,0,0,5.71,1.07,0,0,0,0,1.97,0,0,0.98,0,2.27,0,0,8.67,0,9.86,1.14,0,6.81,47.37,0,2.05,0,0,22.7,0,0,0.66,2.7,0,20.1,0,21.86,0,0
 36-46,1.48,0,0,0,4.23,0,5.86,0,2.94,0,0,0.56,0,0,0,0.57,0,0,10.3,0.95,0.89,1.91,26.81,0,0.75,0,0,45.99,0.73,0,0.89,0,0,9.03,0,4.92,0,0.64
 48-58,0,0,2,0,6.78,0,0,0,0,0,0,0.63,0,0,0,0,0,0,0.61,0,0,6.77,15.31,0,0,0,0,14.92,0,0,0,1.87,0,8.62,0,0.58,0,1.32
 60-70,0,0,2.61,0,18.39,0,1.33,0.86,14.42,0,0,0.58,0,0,0,0,0,0,9.67,0,0,2.95,12.75,1.23,0,0,2.88,10.74,0,0,0,0,0,1.63,0,0,0,2.83
 72-82,0,0,0,0,8.36,0,1.55,0,19.23,0,0.59,0.88,0,0,8.88,0,0,0,13.13,0,0,1.73,12.78,0,0,0,0,7.94,0,0,1,0,0,4.54,0,3.97,0.59,9.96
 84-94,0,0,5.6,0,2.76,0,0.57,5.47,33.86,1.4,0.77,0,0.65,0,0,0,0,0,3.24,1.03,2.04,0,11,2.55,0,0,0,17.25,0,0,2.48,0,0,2.53,0,0,3.87,23.36
 96-106,0,0,15.09,0.66,7.63,0,0.6,1.82,42.51,1.86,0,0.78,0.63,0,3.26,0.9,0,0,24.57,2.3,1.41,4.28,14.27,4.75,1.35,0,2.5,11.63,0,0,0,0,0,0,0,8.38,0,6.96
108-118,1.63,0,4,0,13.21,1.14,2.74,0,44.68,11.9,0,0,0,2.52,6.2,0,0,0.83,29.46,1.25,4.94,8.58,23.2,4.77,4.49,0,0,10.21,0,0,0,0,0,1.6,0,12.8,0,11.4
120,0,0,5.08,1.1,20.42,0,2.75,2.63,8.71,8.64,0,0,2.69,0,8.77,0,0,3.58,68.07,0,0,6.06,32.98,3.23,14.31,0,0,12.46,0,0,0,1.99,0,0,2.82,30.87,0,6.6
