stage,blastomeres,endocrine_pancreas,epidermis,erythrocytes,exocrine_pancreas,eye,fast_muscle,fin_epithelia,fin_mesenchyme,glial,gut,heart,immune,ionocyte,iridophores,lateral_line,liver,melanocytes,mesenchyme,mucous,mural_cell,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,pericytes,periderm,pgc,presomitic_mesoderm,slow_muscle,somites,spinal_cord,vascular_smooth_muscle,vasculature,visceral_smooth_muscle,xanthophores
  3-4,65.68,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.59,0,0,0,5.88,0,0,3.78,0,0,0,0,0,0,0,0
 14-21,0,0,0,0,0,0,0,0,0,0,0,31.35,0,0,0,0,0,0,0,0,0,0,2.55,0,0,0.86,0,0,0,0,10.37,323.19,0.91,0,0,0,0,0
 24-34,0,0,5.6,0,0,4.58,0.66,0,0,0.7,0,119.11,0,0,0,0.82,0,2.18,4.72,0,0,16.48,63.9,0,0.75,3.27,0,0,27.71,0,0,1050.09,3.32,14.01,0,2.41,0,0
 36-46,0,0,3.33,0,0,9.08,0,0,2.23,2.91,0,94.25,0,1.15,0,0,0,0,10.29,0,0,7.03,128.7,0,0,0.83,16.41,0,24.95,0,0,2066.42,0,28.06,0,1.79,0,0
 48-58,0,0,3.66,0,0,76.39,7.75,2.25,5.54,14.86,0,47.63,0,13.98,3.37,0,0.86,3.06,27.12,0.63,1.36,31.29,261.32,8.7,1.94,1.28,0,0,0,0,0,2323.11,0,51.49,0,3.8,0,14.84
 60-70,0,1.1,1.55,2.59,0,60.66,64.23,0,6.5,2.8,0,113.93,0,0,0,5.54,1.77,0,54,0,0,19.81,144.99,0.65,0,1.15,8.92,0,14.78,0,0,1392.55,0,13.67,0,0,0,1.82
 72-82,0,0,2.53,9.39,0,85.17,68.76,0.56,1.25,21.19,0,22.08,0,0,13.33,1.56,0,0,48.17,2.76,2.66,16.89,174.23,0,0,13.06,3.38,0,5.58,0,0,911.62,0,24.31,2.37,7.86,1.65,21.08
 84-94,0,0,16.83,27.66,0,83.31,89.01,1.78,0,16.16,2.21,33.36,0.82,2.79,2.17,2.03,8.12,4.51,31.5,0,1,9.85,148.41,0,2.27,13.96,0,0,12.73,0,0,1593.97,0,6.72,2.08,5.86,3.28,0
 96-106,0,0.87,17.65,73.76,2.14,174.46,98.68,1.35,10.85,50.33,8.26,105.9,1.73,0.87,2.05,6.77,28.79,3.42,82.03,0,0.66,26.27,244.53,0.57,0,7.83,0,3.62,50.03,0,0,1850.35,0,1.9,2.8,12.98,8.5,10.56
108-118,0,0,10.68,3.78,2.19,62.58,170.6,1.54,0.94,17.29,0,100.68,4.92,0.49,9.53,0.67,9.6,4.55,23.52,1.25,0,47.87,119.54,0.6,2.85,19.24,0,4.42,10.01,0,0,1573.77,0,11.23,3.19,7.66,0,16.11
120,0,11.35,19.87,2.53,0,78.8,66.93,1.31,5.01,37.78,0,37.84,6.39,0,0,2.98,0,0,14.5,0,0,35.4,111.89,0,0,32.81,0,0,6.5,0,11.19,536.76,0,0,0,0,9.01,0
